SM_6652_19,SM_6651_19,SM_6650_19,SM_6649_19,SM_6648_19,SM_6647_19,SM_6646_19,SM_6645_19,SM_6644_19,SM_6643_19,SM_6642_19,SM_6641_19,SM_6624_19,SM_6623_19,SM_6622_19,SM_6621_19,SM_6620_19,SM_6619_19,SM_6618_19,SM_6617_19,SM_6616_19,SM_6615_19,SM_6614_19,SM_6613_19,SM_6612_19,SM_6611_19,SM_6610_19,SM_6609_19,SM_6608_19,SM_6607_19,SM_6606_19,SM_6605_19,SM_6604_19,SM_6581_19,SM_6580_19,SM_6579_19,SM_6578_19,SM_6577_19,SM_6576_19,SM_6575_19,SM_6574_19,SM_6573_19,SM_6572_19,SM_6571_19,SM_6570_19,SM_6569_19,SM_6568_19,SM_6567_19,SM_6566_19,SM_6709_19,SM_6708_19,SM_6707_19,SM_6706_19,SM_6705_19,SM_6704_19,SM_6703_19,SM_6702_19,SM_6701_19,SM_6700_19,SM_6699_19,SM_6698_19,SM_6697_19,SM_6696_19,SM_6695_19,SM_6716_19,SM_6717_19,SM_6718_19,SM_6719_19,SM_6720_19,SM_6721_19,SM_6722_19,SM_6723_19,SM_6724_19,SM_6725_19,SM_6726_19,SM_6727_19,SM_6728_19,SM_6729_19,SM_6730_19,SM_6731_19,SM_6691_19,SM_6690_19,SM_6689_19,SM_6688_19,SM_6687_19,SM_6686_19,SM_6685_19,SM_6684_19,SM_6683_19,SM_6682_19,SM_6681_19,SM_6680_19,SM_6679_19,SM_6678_19,SM_6677_19,SM_6676_19,SM_6675_19,SM_6674_19,SM_6673_19,SM_6672_19,SM_6671_19,SM_6664_19,SM_6663_19,SM_6662_19,SM_6661_19,SM_6660_19,SM_6659_19,SM_6658_19,SM_6657_19,SM_6656_19,SM_6655_19,SM_6654_19,SM_6653_19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11693.91,11288.583,11539.645,13090.807,16874.576,24039.008,35844.875,53537.637,78013.766,109378.95,145537.14,180242.94,190946.06,158312.6,100782.3,47216.91,9703.073,-11269.859,-22215.584,-30714.96,-42812.824,-58173.105,-70844.61,-78128.94,-80050.97,-76160.45,-65725.9,-48174.312,-23331.715,9072.816,48533.727,91321.7,110876.086,83286.836,37048.41,-909.8018,-35365.16,-66421.64,-88188.06,-99372.766,-101901.63,-94569.78,-74724.66,-39691.617,13200.597,75336.66,127135.72,158380.52,164914.66,142703.69,106069.516,71648.47,42249.86,19344.877,3278.2593,-6015.175,-8465.6,-4061.3523,7046.3667,24678.41,48795.95,78919.2,113479.67,149189.03,170335.67,163596.73,131944.78,78751.836,15065.186,-38665.3,-74100.58,-94414.76,-102381.9,-100343.9,-89349.29,-67747.26,-37141.918,-4365.5596,30501.832,73063.7,97913.06,78800.65,39688.73,5451.5996,-21981.693,-43318.74,-59465.812,-70874.945,-77490.79,-78750.13,-74039.195,-62651.062,-47093.0,-33856.44,-24012.252,-11935.006,9895.095,48329.47,102854.66,156199.58,189383.89,185319.4,153122.31,118455.49,87595.78,62893.61,44443.766,31557.037,23145.115,18013.14,15079.515,13429.318,12413.009
5311.5073,5191.328,6506.4897,9992.644,16639.828,27541.182,43757.746,66177.375,95207.336,130291.89,168434.23,202096.17,207353.38,167424.89,104818.13,48575.875,8963.618,-14154.841,-26500.984,-36079.043,-49788.51,-67111.62,-81636.016,-90199.85,-92418.3,-87684.125,-75473.53,-55628.695,-28728.943,3985.6392,40365.562,76250.44,93741.74,69111.44,23577.28,-15321.479,-51739.773,-84349.47,-107073.53,-119494.45,-123995.84,-117257.164,-94747.336,-54780.363,3707.6733,71381.71,128979.54,167229.0,182138.12,160626.53,114997.58,69709.07,29547.602,-2788.043,-25997.488,-39481.76,-42831.76,-36103.574,-19936.658,4908.5273,37740.703,77345.69,121291.36,165106.16,187545.66,174501.03,134598.16,73443.54,2631.442,-57647.574,-98340.09,-121052.27,-127637.15,-121665.62,-107438.59,-84430.24,-52849.727,-19218.889,15524.479,56396.477,78343.766,62132.477,29998.703,-1408.2302,-29285.564,-52803.652,-71555.04,-84883.695,-92183.414,-93115.74,-87436.58,-74534.52,-56991.754,-41568.953,-29575.857,-14455.218,11718.736,54069.87,111942.37,170015.2,209330.44,210135.89,179196.0,142531.22,107922.71,78655.31,55473.582,38130.418,25810.738,17455.387,12021.618,8581.219,6457.393
-2796.9705,-2817.1152,-1678.3394,1278.7592,7000.7104,16620.174,31354.014,52367.1,80453.64,115524.26,155119.69,192415.16,201916.72,163669.92,100269.305,43247.523,4823.3135,-15581.686,-25505.854,-32958.426,-44124.047,-58785.426,-71110.336,-78391.49,-80582.53,-77098.07,-67082.414,-49906.117,-25339.49,6997.5615,46766.758,90429.94,110268.8,82903.37,37573.055,331.41656,-33509.035,-64082.652,-85530.92,-96562.1,-99448.12,-93015.87,-73895.7,-39111.78,13794.769,75781.76,126872.92,156988.56,162937.86,141041.78,105187.87,71714.47,43219.113,21110.436,5663.145,-3245.4248,-5557.77,-1246.9956,9560.539,26698.328,50140.81,79415.55,112942.68,147486.7,168371.84,162840.3,132703.78,80335.664,16755.438,-37184.777,-72872.2,-93248.79,-100914.78,-98319.984,-87286.93,-65984.164,-35527.297,-2987.453,31621.895,73812.34,98505.61,78582.95,38139.453,3377.79,-23995.268,-44953.68,-60637.24,-71710.195,-78284.83,-79767.266,-75267.3,-63930.94,-48492.79,-35670.992,-26569.514,-15349.435,5972.5864,45097.63,102984.87,162382.69,200779.34,197859.17,163657.1,125852.24,91479.65,63229.703,41398.77,25431.713,14357.009,7049.3413,2457.1233,-326.17,-1962.5068
-8993.928,-8723.08,-6908.909,-2894.4768,4260.5615,15673.844,32529.81,55925.477,86549.11,124172.62,166137.08,205264.39,214645.36,173667.56,106210.33,45275.94,3811.624,-18851.734,-30135.35,-37968.97,-48845.758,-62868.77,-74383.44,-80712.85,-81814.336,-77126.85,-65863.234,-47617.957,-22363.33,10247.404,49883.36,92860.93,115796.32,90580.164,41545.07,-246.20312,-38604.85,-72923.58,-96465.15,-107789.734,-110007.26,-103295.12,-84037.625,-47897.754,8250.973,74933.65,131029.53,166276.72,178657.72,158738.67,119853.7,84545.8,55192.207,32702.805,17109.842,8103.8867,5565.824,9485.947,19889.17,36919.105,60852.348,91490.27,127603.984,166036.88,187365.9,176991.62,140596.31,81685.72,11922.641,-46583.043,-84709.04,-105731.5,-112914.77,-110046.805,-98603.39,-75115.195,-40884.625,-3748.467,35799.25,82271.51,105298.2,82398.04,42415.42,7325.9624,-20757.748,-42579.066,-59126.18,-71105.94,-78759.984,-81458.53,-78154.555,-67856.945,-53245.56,-40926.348,-31732.354,-19456.926,4222.8286,47149.992,110160.9,174745.0,216477.45,213680.1,177259.23,136651.44,99361.945,68290.266,43847.74,25554.496,12488.071,3550.4133,-2295.1736,-5946.711,-8064.5537
-4828.147,-4624.749,-3009.7468,658.5619,7298.6626,18003.82,33936.85,56190.03,85470.69,121609.41,162092.88,200103.61,209826.53,170461.44,104556.37,44668.82,3739.0867,-18665.57,-29965.383,-38142.465,-49581.47,-64283.39,-76519.0,-83560.59,-85309.06,-81147.83,-70203.766,-51793.363,-25583.479,8937.02,51494.043,98475.93,120214.664,92018.97,44123.445,3648.1099,-33522.44,-67267.69,-90989.77,-103016.16,-105826.08,-98718.19,-78427.78,-41815.29,13574.048,78151.75,131041.586,161992.92,168458.19,147086.69,111716.36,78837.48,50961.35,29341.967,14219.553,5464.3076,3115.545,7209.846,17666.574,34395.863,57457.562,86416.54,119718.74,154055.48,174514.06,168384.56,137285.88,83060.56,16898.387,-39592.58,-77346.336,-99231.52,-107694.25,-105197.76,-93350.39,-69978.055,-36309.133,-47.855484,38031.645,82842.336,108291.82,86389.086,42699.22,5224.5874,-24240.938,-46746.55,-63525.97,-75396.72,-82638.98,-84660.74,-80503.56,-69321.59,-53870.74,-40835.805,-31165.898,-18774.713,4609.793,46793.59,108371.73,171011.31,210986.42,207920.66,172730.81,133649.47,97834.43,68076.51,44756.598,27395.38,15081.041,6731.956,1327.7366,-2017.7388,-3955.767
3043.0916,2805.9177,3430.5215,5580.754,10228.344,18582.451,31986.416,51774.59,78929.66,113611.5,153663.52,192482.27,205094.58,170427.56,108940.96,51853.395,11943.556,-10623.447,-22367.523,-30698.178,-41920.535,-56034.695,-67362.15,-73361.75,-74190.25,-69619.055,-59171.53,-42480.195,-19360.898,10727.256,47668.777,88062.77,109913.55,85601.28,38396.535,-1028.0585,-36621.332,-67999.24,-88964.375,-98547.61,-100173.48,-94228.914,-77270.0,-44647.242,7532.3057,70520.01,123988.336,158441.25,172403.06,154175.06,116056.68,81879.25,53792.34,32415.19,17654.676,9135.079,6675.7637,10251.442,19924.178,35899.11,58547.152,87906.15,123070.03,161109.94,181263.14,169580.47,133906.55,77492.05,11263.189,-43420.992,-78031.64,-96381.4,-102597.34,-100597.22,-91100.1,-70235.68,-39006.414,-4563.9473,33130.14,78789.48,101547.49,79537.695,41664.223,8646.866,-17525.213,-37674.586,-52843.992,-63768.336,-70681.03,-72950.78,-69630.32,-59709.367,-45564.03,-33513.344,-24319.143,-11990.437,11190.613,52064.336,110298.414,167933.28,203511.7,197798.92,161565.03,123014.5,88863.02,61505.89,40968.793,26460.803,16807.176,10742.807,7135.858,5042.3994,3793.4832
3499.0056,3667.2373,5455.8394,9556.519,16922.492,28632.438,45752.51,69172.76,99267.5,135402.94,174467.19,208770.08,213744.72,172137.16,106703.28,47589.375,6396.485,-17295.238,-29994.926,-39634.508,-53039.87,-69883.484,-83826.07,-91764.38,-93371.18,-88046.04,-75292.03,-54921.66,-27517.7,5706.4395,42836.633,79745.1,99057.2,74368.68,25874.545,-16270.295,-55907.11,-91577.04,-116566.695,-129760.62,-133510.56,-125283.266,-101118.9,-59119.332,2100.9302,73023.74,133523.62,173818.33,190739.9,169821.95,122985.945,76622.74,35653.703,2759.959,-20828.361,-34607.15,-38292.62,-31920.717,-15943.544,9022.587,42325.29,82760.695,127838.76,172741.86,194719.19,179877.67,137915.88,73958.05,-51.205322,-63097.312,-105912.93,-130298.195,-138134.73,-132718.67,-117650.96,-92135.36,-57161.223,-20060.607,18059.197,61912.957,83765.914,65811.65,33015.965,1074.3945,-27215.639,-51120.496,-70318.26,-84301.21,-92458.11,-94280.49,-89408.89,-77196.7,-60222.137,-45163.277,-33143.582,-17748.318,8791.046,52280.64,112855.09,174238.97,215936.42,217473.73,186011.45,148424.55,112693.93,82220.13,57830.27,39344.875,26005.893,16800.654,10722.822,6869.854,4576.07
11400.56,11707.679,13310.559,16855.371,23252.135,33578.895,48956.777,70383.836,98364.72,132448.66,169804.75,203144.45,209662.88,171800.39,109506.89,51980.484,11204.484,-12797.3955,-26388.1,-37180.688,-51574.7,-69025.13,-83173.48,-90996.94,-92276.1,-86556.02,-73441.38,-52756.426,-25071.709,8392.504,45665.027,82502.43,101372.12,75357.0,25419.666,-17253.8,-56698.676,-91695.79,-115970.734,-128757.586,-132570.66,-124965.164,-101648.59,-60248.63,684.0736,71615.31,132355.31,172809.12,189422.64,168270.61,121761.35,75949.914,35561.254,3181.1553,-19992.023,-33487.324,-37060.28,-30763.559,-15041.266,9526.7705,42332.227,82228.445,126843.47,171496.64,193573.12,178751.78,136451.9,72236.39,-1700.6544,-64339.62,-106448.836,-129891.086,-136807.97,-131055.914,-116332.164,-91488.42,-57263.816,-20620.383,17658.844,62567.395,85588.74,68163.414,35498.035,3404.3596,-25185.592,-49417.242,-68864.81,-82927.28,-90939.01,-92412.76,-87107.875,-74564.75,-57363.2,-41980.88,-29478.762,-13853.272,12325.612,55193.797,114505.49,173125.12,211580.48,211616.4,180616.39,144325.23,110234.56,81499.65,58788.258,41821.457,29799.455,21739.658,16670.066,13675.984,12051.215
