Sloupec,Průměr,Směrodatná odchylka
Ec,13.0,1.0426346853462563
Rel,50.0,11.56121367597977
Erat_1,2.5,0.2945959721156872
E50_1,64.999,5.014393596751569
c_1,29.995,5.006999605057408
phi_1,30.0,1.038787311762653
k0_1,0.851,0.14697142783752426
Erat_2,2.5,0.2945959721156872
E50_2,129.978,10.419312744998015
c_2,4.997700000000001,1.0057117709195642
phi_2,41.999,1.0440733159549138
k0_2,0.55,0.05790814582900538
SM_6652_19,4926.043532395,6473.227392053116
SM_6651_19,4824.239750584001,6338.028040351744
SM_6650_19,5838.1168796006,6062.085363558677
SM_6649_19,8640.806225109,5704.616896053782
SM_6648_19,14184.81997024,5373.72887527622
SM_6647_19,23597.9692595,5229.523931467473
SM_6646_19,38068.165311,5418.886855505208
SM_6645_19,58700.266412,5964.137174981138
SM_6644_19,86186.840039,6734.044792917802
SM_6643_19,120329.29695699998,7539.363117094678
SM_6642_19,158575.90431,8215.38009813301
SM_6641_19,193979.35027,8669.046210124267
SM_6624_19,202457.28853999998,8342.03602729613
SM_6623_19,165223.32439,6687.03164533825
SM_6622_19,103454.53403400001,4423.7926222622655
SM_6621_19,47213.91880000001,2847.301043893195
SM_6620_19,8249.0121735,2662.056117428668
SM_6619_19,-13624.371799300001,3065.9345825107093
SM_6618_19,-25059.336064000003,3582.4610093647448
SM_6617_19,-33803.011427,4059.914259248267
SM_6616_19,-46214.445485,4603.457053067737
SM_6615_19,-61981.64082,5285.855995566084
SM_6614_19,-75055.47868200002,5950.307094348501
SM_6613_19,-82582.92919400001,6395.501877646529
SM_6612_19,-84449.91889899998,6454.103054999103
SM_6611_19,-80164.70184000001,6046.76025348853
SM_6610_19,-69081.40041999999,5203.07392393925
SM_6609_19,-50762.049448,3961.3711014944743
SM_6608_19,-25280.780791999998,2582.477716257769
SM_6607_19,7127.6355098,2355.756139707405
SM_6606_19,45446.125589,4151.557008937128
SM_6605_19,85842.176435,7089.591768845905
SM_6604_19,105575.75207,8640.154692296117
SM_6581_19,79944.98148199999,7813.476367904311
SM_6580_19,33768.838949000005,6068.565138085285
SM_6579_19,-5088.745494402001,5128.361636545063
SM_6578_19,-40937.508671,5515.307522073065
SM_6577_19,-73171.06260499998,6602.10612647613
SM_6576_19,-95626.167025,7746.773233727406
SM_6575_19,-107417.345443,8674.973939742451
SM_6574_19,-111015.398636,9307.085842537643
SM_6573_19,-104373.30921400001,8906.055114871897
SM_6572_19,-83654.237127,7156.109457588395
SM_6571_19,-46346.77372,4835.578396441261
SM_6570_19,9530.76262022,2746.195911815175
SM_6569_19,74742.74496899999,2340.2822551192207
SM_6568_19,129391.80347399999,3870.1858466843078
SM_6567_19,163386.01082,5738.391180515297
SM_6566_19,173121.87691,7887.495022468821
SM_6709_19,151139.785516,8196.272799554905
SM_6708_19,111092.40511899999,6282.43615474002
SM_6707_19,72955.038543,6291.982979239258
SM_6706_19,39971.684776,8657.931285665127
SM_6705_19,13966.639568268001,11605.032578976019
SM_6704_19,-4413.059682671001,14055.279656910825
SM_6703_19,-15025.121797170003,15499.613779728767
SM_6702_19,-17704.839836504998,15698.75039326071
SM_6701_19,-12470.741469294,14668.433043111238
SM_6700_19,364.987417535,12663.730816652016
SM_6699_19,20442.748899000002,10061.584038529209
SM_6698_19,47509.994287,7414.087885292311
SM_6697_19,80841.65297100002,5741.410964860596
SM_6696_19,118624.528384,6245.176798229339
SM_6695_19,157322.59112,8234.477838785151
SM_6716_19,179301.22475,8425.947392984568
SM_6717_19,170620.49620999998,6208.349208366114
SM_6718_19,135811.640995,3818.7003341690715
SM_6719_19,78883.138508,2564.8521391787363
SM_6720_19,11333.303033454002,3824.1166455816165
SM_6721_19,-46002.806393,6095.418016293542
SM_6722_19,-84197.191091,8190.904341933544
SM_6723_19,-105719.49129500001,9525.114655492696
SM_6724_19,-112973.869026,9732.839343363588
SM_6725_19,-108925.390747,8892.680147904692
SM_6726_19,-96312.49074900002,7653.913879891068
SM_6727_19,-73831.208804,6304.540974945071
SM_6728_19,-42268.003777000005,5163.9771277217405
SM_6729_19,-8520.435927264001,5128.612722102538
SM_6730_19,26837.0379985,6701.213679676338
SM_6731_19,68894.22481999999,9178.886840175575
SM_6691_19,91809.85931199999,10031.367445171965
SM_6690_19,72903.600298,7839.162080432237
SM_6689_19,36231.924785999996,4680.665117226087
SM_6688_19,3025.02577780726,3060.0020391587586
SM_6687_19,-24487.207513000005,3282.926971786759
SM_6686_19,-46506.887514,4544.59366945359
SM_6685_19,-63513.628042,5903.365384521593
SM_6684_19,-75628.74168600001,6841.18006470467
SM_6683_19,-82648.16571500001,7136.978378670663
SM_6682_19,-84049.84541499999,6930.811900878176
SM_6681_19,-79243.669733,6459.650689679471
SM_6680_19,-67505.385699,5836.921500674781
SM_6679_19,-51426.673158,5121.16060601964
SM_6678_19,-37615.634315999996,4398.446259504152
SM_6677_19,-27182.283906,3690.248966365387
SM_6676_19,-14118.431708799999,2950.5001343851864
SM_6675_19,9330.814517700002,2422.050874807483
SM_6674_19,49789.982385,2518.0925322834105
SM_6673_19,107359.30652099999,4099.89109475856
SM_6672_19,165183.04056,6740.974876011028
SM_6671_19,202719.00864999997,8681.568556534521
SM_6664_19,200739.52304,9140.552127753954
SM_6663_19,167978.14409,8814.77630282038
SM_6662_19,131152.748592,8151.876455624975
SM_6661_19,97411.95367700001,7282.77023114559
SM_6660_19,69585.559668,6377.140445813867
SM_6659_19,48074.665993999995,5643.42891517024
SM_6658_19,32388.450577,5263.673956440553
SM_6657_19,21564.9609841,5274.92227229652
SM_6656_19,14473.199761630001,5554.132634332413
SM_6655_19,10050.758310229998,5924.801944272159
SM_6654_19,7376.769991875,6246.960268039008
SM_6653_19,5783.6698211678,6441.703221806561
