column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full,S1_Ec,ST_Ec,S1_Rel,ST_Rel,S1_Erat_1,ST_Erat_1,S1_E50_1,ST_E50_1,S1_c_1,ST_c_1,S1_phi_1,ST_phi_1,S1_k0_1,ST_k0_1,S1_Erat_2,ST_Erat_2,S1_E50_2,ST_E50_2,S1_c_2,ST_c_2,S1_phi_2,ST_phi_2,S1_k0_2,ST_k0_2
SF_6652_19,0.006074375,,-1375559.2659964585,46755.53903520238,0.006074375,0.014060850000000001,,,0.035695286980249416,0.035695286980249416,0.00020910728583037157,0.00020910728583037157,5.7602053091554565e-05,5.7602053091554565e-05,5.0354661690505854e-05,5.0354661690505854e-05,0.0002234773856200167,0.0002234773856200167,0.000336548040867257,0.000336548040867257,0.7126768763697411,0.7126768763697411,0.022399252711333535,0.022399252711333535,0.002140653927899209,0.002140653927899209,3.55623829720059e-05,3.55623829720059e-05,0.0009664441234225057,0.0009664441234225057,0.22520883407728254,0.22520883407728254
SF_6651_19,0.00614275,,-1377795.8428869995,46215.27145858988,0.00614275,0.01427065,,,0.03670334106670454,0.03670334106670454,0.00021223408330253946,0.00021223408330253946,5.933995571892949e-05,5.933995571892949e-05,5.053410546120305e-05,5.053410546120305e-05,0.00022769374966370292,0.00022769374966370292,0.00033966979937381835,0.00033966979937381835,0.7079615040469134,0.7079615040469134,0.02285127189847725,0.02285127189847725,0.0021736660139937804,0.0021736660139937804,3.661889446832892e-05,3.661889446832892e-05,0.0009871978497771308,0.0009871978497771308,0.22839692853614527,0.22839692853614527
SF_6650_19,0.0061880749999999995,,-1382398.086437257,45044.34179670765,0.0061880749999999995,0.0147303,,,0.03876593604323412,0.03876593604323412,0.00022442809277256094,0.00022442809277256094,6.25311769952892e-05,6.25311769952892e-05,5.126771483575674e-05,5.126771483575674e-05,0.0002511510534807272,0.0002511510534807272,0.0003472359679560558,0.0003472359679560558,0.6984901829157075,0.6984901829157075,0.023864578048176488,0.023864578048176488,0.0022590206626069663,0.0022590206626069663,3.856309224280353e-05,3.856309224280353e-05,0.0010571903155737715,0.0010571903155737715,0.234587914916418,0.234587914916418
SF_6649_19,0.006577125,,-1389675.139306231,43312.48341614694,0.006577125,0.015494974999999998,,,0.04315858960937716,0.04315858960937716,0.0001553678204999836,0.0001553678204999836,6.743078616012803e-05,6.743078616012803e-05,8.868714531031634e-05,8.868714531031634e-05,9.480450516528761e-05,9.480450516528761e-05,0.0,0.0,0.679186905640763,0.679186905640763,0.02582675083944468,0.02582675083944468,0.0024627359091043497,0.0024627359091043497,2.7606039380384082e-05,2.7606039380384082e-05,0.0009820213124279687,0.0009820213124279687,0.24794910039236673,0.24794910039236673
SF_6648_19,0.006862275,,-1399090.8046404817,40981.43702225433,0.006862275,0.016689025,,,0.047657066972852595,0.047657066972852595,0.0003869316597062791,0.0003869316597062791,7.459815294740635e-05,7.459815294740635e-05,9.064362689205058e-05,9.064362689205058e-05,0.0,0.0,0.0,0.0,0.658652457045477,0.658652457045477,0.0289248722537715,0.0289248722537715,0.002662805713497344,0.002662805713497344,3.0873945187780054e-05,3.0873945187780054e-05,0.0011469394937214084,0.0011469394937214084,0.26037281113594657,0.26037281113594657
SF_6647_19,0.007281775,,-1410982.2684435768,38114.535926505894,0.007281775,0.0184958,,,0.054672731971094124,0.054672731971094124,0.0004017160496693536,0.0004017160496693536,8.488980675110988e-05,8.488980675110988e-05,9.347520995525667e-05,9.347520995525667e-05,0.00017270926478332236,0.00017270926478332236,0.0003641960567674576,0.0003641960567674576,0.6302306338329313,0.6302306338329313,0.03219787227069104,0.03219787227069104,0.002920576259505584,0.002920576259505584,3.5355286736089424e-05,3.5355286736089424e-05,0.0012106438937159855,0.0012106438937159855,0.2776152000973994,0.2776152000973994
SF_6646_19,0.008166175,,-1425199.9481352975,34944.83013544024,0.008166175,0.021208325,,,0.06629934499022819,0.06629934499022819,0.00045551436493485313,0.00045551436493485313,7.413473565319615e-05,7.413473565319615e-05,0.0,0.0,0.00019230008302549656,0.00019230008302549656,0.0004042993486685925,0.0004042993486685925,0.5883907128721547,0.5883907128721547,0.03735365050669707,0.03735365050669707,0.0032344422153455787,0.0032344422153455787,4.976217870489881e-05,4.976217870489881e-05,0.0014983523055721226,0.0014983523055721226,0.30204748639901535,0.30204748639901535
SF_6645_19,0.009677975,,-1441628.3138577489,31486.356225131683,0.009677975,0.0253152,,,0.08359668676915509,0.08359668676915509,0.0004127815348372692,0.0004127815348372692,8.860050845922574e-05,8.860050845922574e-05,0.0,0.0,0.0003733624487888016,0.0003733624487888016,0.00045898125541552024,0.00045898125541552024,0.5291926986628464,0.5291926986628464,0.04431877218248123,0.04431877218248123,0.0036528586407757017,0.0036528586407757017,5.9970904350831495e-05,5.9970904350831495e-05,0.0018005158177964596,0.0018005158177964596,0.3360447712750935,0.3360447712750935
SF_6644_19,0.011921325,,-1460803.1377076893,27939.60815960433,0.011921325,0.0315747,,,0.11005108165269278,0.11005108165269278,0.0004980093993348031,0.0004980093993348031,5.0745060886442016e-05,5.0745060886442016e-05,0.0,0.0,0.0003929489257983227,0.0003929489257983227,0.0004938055132446613,0.0004938055132446613,0.445631238944028,0.445631238944028,0.054764876799814025,0.054764876799814025,0.004054402866743881,0.004054402866743881,0.0,0.0,0.0021414884329457083,0.0021414884329457083,0.38192140240451133,0.38192140240451133
SF_6643_19,0.01474685,,-1482800.0469212837,24388.92834443914,0.01474685,0.04101085,,,0.14745844726956817,0.14745844726956817,0.0008279980569576923,0.0008279980569576923,7.04012792127817e-05,7.04012792127817e-05,0.0,0.0,0.00029820706919870356,0.00029820706919870356,0.0005610732178189964,0.0005610732178189964,0.33089666841327187,0.33089666841327187,0.06751057468923649,0.06751057468923649,0.005067057148839375,0.005067057148839375,0.0,0.0,0.002905076141982218,0.002905076141982218,0.4444044967139137,0.4444044967139137
