SF_6652_19,SF_6651_19,SF_6650_19,SF_6649_19,SF_6648_19,SF_6647_19,SF_6646_19,SF_6645_19,SF_6644_19,SF_6643_19,SF_6642_19,SF_6641_19,SF_6624_19,SF_6623_19,SF_6622_19,SF_6621_19,SF_6620_19,SF_6619_19,SF_6618_19,SF_6617_19,SF_6616_19,SF_6615_19,SF_6614_19,SF_6613_19,SF_6612_19,SF_6611_19,SF_6610_19,SF_6609_19,SF_6608_19,SF_6607_19,SF_6606_19,SF_6605_19,SF_6604_19,SF_6581_19,SF_6580_19,SF_6579_19,SF_6578_19,SF_6577_19,SF_6576_19,SF_6575_19,SF_6574_19,SF_6573_19,SF_6572_19,SF_6571_19,SF_6570_19,SF_6569_19,SF_6568_19,SF_6567_19,SF_6566_19,SF_6709_19,SF_6708_19,SF_6707_19,SF_6706_19,SF_6705_19,SF_6704_19,SF_6703_19,SF_6702_19,SF_6701_19,SF_6700_19,SF_6699_19,SF_6698_19,SF_6697_19,SF_6696_19,SF_6695_19,SF_6716_19,SF_6717_19,SF_6718_19,SF_6719_19,SF_6720_19,SF_6721_19,SF_6722_19,SF_6723_19,SF_6724_19,SF_6725_19,SF_6726_19,SF_6727_19,SF_6728_19,SF_6729_19,SF_6730_19,SF_6731_19,SF_6691_19,SF_6690_19,SF_6689_19,SF_6688_19,SF_6687_19,SF_6686_19,SF_6685_19,SF_6684_19,SF_6683_19,SF_6682_19,SF_6681_19,SF_6680_19,SF_6679_19,SF_6678_19,SF_6677_19,SF_6676_19,SF_6675_19,SF_6674_19,SF_6673_19,SF_6672_19,SF_6671_19,SF_6664_19,SF_6663_19,SF_6662_19,SF_6661_19,SF_6660_19,SF_6659_19,SF_6658_19,SF_6657_19,SF_6656_19,SF_6655_19,SF_6654_19,SF_6653_19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1328811.2,-1331934.2,-1338354.4,-1348195.4,-1361238.1,-1377400.0,-1396584.1,-1418637.8,-1443884.1,-1472354.5,-1505660.1,-1544955.5,-1565070.5,-1593655.4,-1643948.2,-1699989.5,-1755076.4,-1807826.5,-1858301.1,-1903624.9,-1943173.8,-1975534.4,-1998775.8,-2015019.1,-2022309.2,-2021244.9,-2013314.9,-2000064.4,-1982521.4,-1961480.0,-1936638.0,-1912498.4,-1881758.4,-1839704.2,-1836740.9,-1820074.4,-1798322.0,-1766399.6,-1728870.0,-1684637.4,-1636938.2,-1584087.6,-1527602.0,-1468131.2,-1405102.9,-1349545.8,-1302058.6,-1249111.0,-1185169.2,-1159857.6,-1155682.2,-1159898.0,-1165882.1,-1168704.0,-1173181.5,-1177018.8,-1178717.1,-1178179.8,-1176226.6,-1175134.8,-1176434.0,-1174130.8,-1171289.1,-1174756.8,-1225432.9,-1286314.4,-1342862.4,-1393276.0,-1453686.8,-1523988.2,-1593207.5,-1659403.6,-1720808.9,-1771941.2,-1814713.4,-1855085.5,-1894545.8,-1929406.8,-1954147.1,-1965923.9,-2013693.5,-2052814.2,-2078314.8,-2101071.2,-2119133.2,-2131843.5,-2138494.8,-2138797.8,-2131528.2,-2116013.5,-2091371.1,-2060433.0,-2020468.0,-1973389.0,-1920807.0,-1863502.0,-1804980.5,-1743961.5,-1679558.5,-1607609.8,-1611704.4,-1556971.9,-1517536.5,-1481938.9,-1451482.2,-1424676.5,-1401276.6,-1381226.1,-1364184.1,-1350509.8,-1339996.6,-1332881.2,-1329061.4
-1377817.4,-1379674.6,-1383549.6,-1389675.9,-1397920.8,-1408320.2,-1420806.6,-1435213.6,-1452132.8,-1471721.5,-1495854.5,-1525987.5,-1534269.6,-1566416.8,-1623350.5,-1686770.8,-1749629.0,-1811942.5,-1868742.5,-1921109.8,-1967495.8,-2005607.5,-2033436.2,-2053162.9,-2062807.8,-2061837.4,-2052185.9,-2035933.4,-2013523.9,-1985596.6,-1951862.6,-1916548.1,-1851127.4,-1832642.5,-1816888.6,-1792187.4,-1764446.6,-1725469.6,-1680715.2,-1627238.6,-1567625.4,-1504895.6,-1440029.0,-1373631.5,-1305556.9,-1247373.6,-1200119.1,-1152882.6,-1104437.9,-1051848.6,-1028201.94,-1025800.3,-1025580.2,-1024317.5,-1023374.5,-1023560.5,-1024065.25,-1025363.56,-1027905.4,-1032296.8,-1036848.6,-1039007.8,-1042038.75,-1062691.6,-1130822.5,-1186825.4,-1241582.4,-1291737.0,-1352467.8,-1424193.4,-1495796.0,-1566599.8,-1634954.0,-1697720.5,-1755674.5,-1803193.9,-1848685.4,-1889703.9,-1921822.6,-1939802.8,-1972781.5,-2042268.8,-2078367.5,-2109591.8,-2132980.0,-2149151.0,-2158178.0,-2159893.2,-2153236.0,-2136885.2,-2111257.8,-2078631.8,-2035565.8,-1984183.0,-1926033.2,-1864065.9,-1795865.2,-1727982.5,-1656542.2,-1578647.8,-1579202.0,-1540404.2,-1510072.9,-1483087.2,-1460938.5,-1441970.6,-1425883.6,-1412407.9,-1401046.9,-1392138.2,-1385278.0,-1380647.0,-1378057.5
-1436646.9,-1438191.6,-1441266.1,-1446121.0,-1452583.8,-1460714.8,-1470531.6,-1481962.5,-1495634.4,-1511791.4,-1532514.6,-1559032.5,-1562303.5,-1580648.0,-1625789.8,-1680168.4,-1733168.4,-1786044.9,-1837616.5,-1884825.5,-1926587.8,-1961350.8,-1987149.2,-2005890.5,-2015597.0,-2016731.4,-2010849.4,-1999505.0,-1983747.9,-1964313.8,-1940812.1,-1917776.4,-1888385.4,-1843321.2,-1844255.5,-1829945.4,-1809861.2,-1779666.9,-1742630.6,-1698625.5,-1648939.9,-1593465.2,-1535321.5,-1475968.4,-1414197.1,-1359268.4,-1311680.6,-1258740.8,-1194285.2,-1172454.8,-1169109.0,-1174329.0,-1180647.9,-1183922.6,-1188680.4,-1192625.4,-1194381.6,-1193947.4,-1191902.2,-1190310.5,-1191323.9,-1188533.2,-1184056.1,-1186300.5,-1236093.4,-1297597.2,-1354653.9,-1405673.1,-1465878.4,-1535792.8,-1604939.8,-1672115.4,-1735109.1,-1787503.6,-1833584.4,-1873694.1,-1912716.9,-1946062.8,-1968734.8,-1977561.5,-2028708.4,-2066601.8,-2090691.8,-2111489.8,-2127203.8,-2137290.0,-2141129.2,-2138500.2,-2128385.2,-2110364.0,-2083570.4,-2050403.0,-2008645.9,-1959990.0,-1905714.9,-1847003.6,-1786977.5,-1726255.9,-1662392.2,-1594076.6,-1607113.6,-1569395.9,-1542624.5,-1519537.1,-1501391.0,-1486174.5,-1473482.4,-1463006.6,-1454204.5,-1447412.6,-1442165.1,-1438670.4,-1436716.9
-1468534.4,-1469797.5,-1472267.9,-1476222.8,-1481499.2,-1488189.1,-1496355.5,-1505956.1,-1517697.2,-1531900.6,-1550840.4,-1576132.9,-1577685.1,-1591290.1,-1633717.8,-1685497.0,-1735277.9,-1786675.0,-1837094.6,-1884215.6,-1926307.8,-1961937.0,-1989056.2,-2009736.1,-2021965.9,-2026880.0,-2025369.4,-2019132.9,-2009344.6,-1996618.2,-1980668.0,-1964761.0,-1946274.4,-1908652.8,-1910941.4,-1899574.2,-1883098.6,-1856057.0,-1821535.2,-1779646.5,-1731452.8,-1675883.2,-1616722.6,-1556628.1,-1495333.2,-1440249.6,-1393488.1,-1341862.0,-1281028.6,-1269340.0,-1268743.8,-1277758.1,-1285832.5,-1290197.6,-1294262.9,-1297501.4,-1299150.8,-1299080.2,-1297766.0,-1296092.8,-1294013.9,-1287580.0,-1279089.0,-1279379.9,-1323071.2,-1388816.9,-1446926.4,-1498056.5,-1560059.8,-1631350.9,-1701016.5,-1767806.4,-1828679.4,-1879588.4,-1923769.8,-1961525.5,-1996910.8,-2024979.1,-2042597.5,-2047550.0,-2093078.9,-2119021.0,-2136210.2,-2150194.0,-2159894.8,-2164643.8,-2163737.8,-2156838.2,-2143159.5,-2121918.5,-2092362.8,-2057030.0,-2013764.4,-1964244.8,-1909613.9,-1851627.6,-1792478.4,-1733949.8,-1672245.6,-1605209.1,-1623501.8,-1585788.6,-1560095.1,-1538835.6,-1522699.5,-1509519.0,-1498756.4,-1490034.1,-1482757.0,-1477242.5,-1472976.1,-1470160.4,-1468562.1
-1455707.6,-1457269.9,-1460350.6,-1465204.0,-1471659.6,-1479781.0,-1489596.9,-1501038.0,-1514738.9,-1530947.2,-1551794.8,-1578504.2,-1582114.9,-1599101.1,-1642975.5,-1695839.4,-1746778.2,-1798681.4,-1849353.1,-1896345.5,-1937883.2,-1972794.2,-1998969.2,-2018384.5,-2029006.8,-2031552.5,-2027340.9,-2017887.9,-2004257.5,-1987169.2,-1966220.6,-1945781.2,-1923265.9,-1878895.6,-1883594.8,-1872750.8,-1855613.4,-1828563.2,-1795078.0,-1753741.8,-1705974.6,-1650986.8,-1592658.5,-1533140.1,-1472112.5,-1417149.1,-1369847.4,-1316835.1,-1253604.5,-1233893.6,-1234151.4,-1243108.4,-1251611.0,-1256785.9,-1262307.8,-1266544.8,-1268393.1,-1267739.5,-1265110.2,-1262168.1,-1260473.1,-1254774.1,-1246383.5,-1245524.6,-1295911.8,-1356285.8,-1413400.2,-1464331.9,-1524998.4,-1595323.5,-1664428.1,-1731160.9,-1792873.5,-1843674.0,-1887520.0,-1924780.4,-1959736.2,-1990213.8,-2009550.5,-2015308.0,-2068079.4,-2098865.8,-2119908.5,-2137778.8,-2151002.2,-2158894.8,-2160771.0,-2156319.8,-2144672.5,-2125336.5,-2097278.0,-2063194.6,-2020858.0,-1971993.2,-1917816.9,-1859861.0,-1800810.9,-1741699.2,-1679361.1,-1611791.1,-1626746.4,-1588215.1,-1561148.5,-1537982.0,-1519838.4,-1504685.8,-1492075.1,-1481688.8,-1472975.6,-1466265.8,-1461090.0,-1457655.1,-1455746.9
-1364904.5,-1367463.4,-1372728.9,-1380867.6,-1391669.1,-1405101.2,-1421137.5,-1439686.4,-1461184.0,-1485813.1,-1515472.8,-1551767.6,-1567559.4,-1588665.4,-1633323.2,-1685482.8,-1735807.9,-1785876.4,-1834512.8,-1879078.4,-1918810.6,-1952024.1,-1976887.6,-1995599.9,-2006155.9,-2009925.4,-2007657.0,-2000733.1,-1990382.5,-1977167.9,-1960853.1,-1944732.4,-1924065.5,-1882132.4,-1885617.1,-1874010.0,-1857054.9,-1830061.0,-1794630.1,-1752575.9,-1704539.5,-1650183.6,-1591084.1,-1531007.2,-1470115.8,-1416542.0,-1370451.1,-1320641.9,-1257441.9,-1247177.6,-1248299.9,-1258088.8,-1265570.5,-1269391.4,-1272636.9,-1275360.5,-1276892.4,-1277142.4,-1276446.9,-1275338.9,-1273974.9,-1267529.0,-1258520.6,-1257267.1,-1300753.1,-1369473.2,-1426716.4,-1478114.6,-1539992.1,-1611110.0,-1680713.2,-1747494.4,-1807277.8,-1857918.6,-1902367.4,-1940737.8,-1975463.2,-2002881.2,-2020083.0,-2023637.0,-2073555.2,-2101116.8,-2118631.0,-2133289.2,-2143853.8,-2149688.8,-2150036.0,-2144506.2,-2132324.2,-2112375.0,-2083979.5,-2049999.9,-2008025.0,-1959922.4,-1907068.2,-1850785.2,-1793534.2,-1735033.4,-1674086.0,-1605138.2,-1616654.6,-1563224.8,-1526573.9,-1494683.0,-1468161.2,-1445219.2,-1425433.5,-1408632.1,-1394386.9,-1383030.4,-1374272.6,-1368350.0,-1365127.6
-1394575.9,-1396416.5,-1400177.2,-1406085.2,-1413986.6,-1423927.6,-1435889.0,-1449759.9,-1466145.0,-1485232.1,-1508934.8,-1538830.5,-1546303.6,-1574712.9,-1628899.1,-1691304.8,-1751023.6,-1811822.1,-1868371.0,-1920179.4,-1966252.2,-2004515.6,-2032704.8,-2053123.9,-2063801.2,-2064430.6,-2057510.9,-2044701.9,-2026576.2,-2004014.0,-1976661.6,-1947793.0,-1896424.5,-1881200.5,-1866892.9,-1844667.2,-1819866.1,-1782086.9,-1738407.0,-1685803.5,-1627076.8,-1564730.0,-1500142.6,-1433869.9,-1365552.4,-1307261.9,-1259652.8,-1211625.4,-1163979.4,-1116795.6,-1094919.6,-1093506.8,-1094949.5,-1095326.6,-1096420.8,-1098176.1,-1099190.1,-1099548.4,-1100102.5,-1102369.2,-1105273.1,-1105908.6,-1107709.6,-1126817.5,-1194587.2,-1248422.4,-1303665.2,-1354263.5,-1415337.0,-1487681.1,-1559602.5,-1630247.6,-1697863.6,-1759497.1,-1815045.0,-1861219.1,-1905242.1,-1943853.9,-1973128.1,-1989833.0,-2018455.6,-2075224.2,-2105572.8,-2131395.0,-2150435.2,-2162949.0,-2168780.0,-2167811.5,-2158886.5,-2140934.0,-2114005.5,-2080447.4,-2036893.1,-1985432.1,-1927562.8,-1865537.5,-1798495.5,-1732695.8,-1662843.2,-1586280.6,-1591039.9,-1551587.1,-1521514.8,-1495162.9,-1473734.8,-1455507.0,-1440109.0,-1427260.2,-1416446.9,-1408002.1,-1401508.6,-1397151.4,-1394736.2
-1324754.4,-1327638.1,-1333625.9,-1342848.9,-1355128.9,-1370416.4,-1388615.9,-1409577.2,-1433692.2,-1461009.1,-1493136.6,-1531528.0,-1549863.6,-1584900.8,-1641647.6,-1705057.5,-1765332.9,-1825210.9,-1880615.9,-1930758.0,-1974762.2,-2010850.0,-2036882.2,-2055239.1,-2063983.5,-2062954.2,-2054561.8,-2040394.9,-2021019.2,-1997371.6,-1969219.0,-1939984.8,-1887917.9,-1873963.5,-1858324.0,-1835068.0,-1809263.5,-1770712.1,-1726963.8,-1674773.9,-1616685.9,-1555108.8,-1491165.4,-1425350.8,-1357222.9,-1298833.2,-1250654.8,-1201828.2,-1153435.1,-1109881.2,-1087167.9,-1084077.9,-1084218.8,-1083422.4,-1083530.6,-1084678.4,-1085531.1,-1086208.5,-1087476.0,-1090758.4,-1094749.0,-1096587.1,-1100063.5,-1120149.1,-1184400.0,-1239193.6,-1295108.1,-1346048.6,-1407249.8,-1479495.5,-1551175.5,-1621424.1,-1688444.1,-1749394.2,-1803902.6,-1849344.9,-1893188.1,-1932275.6,-1962346.4,-1979869.8,-2006750.8,-2064448.1,-2095424.6,-2122447.2,-2143082.2,-2157423.5,-2165233.0,-2166302.2,-2159377.2,-2143214.0,-2117838.5,-2085665.6,-2043717.6,-1993619.5,-1937168.0,-1875923.4,-1810607.1,-1745157.2,-1674646.1,-1596428.8,-1595604.9,-1545160.5,-1506702.5,-1472043.4,-1442451.5,-1416532.6,-1394019.5,-1374806.1,-1358548.4,-1345532.8,-1335520.2,-1328729.8,-1325050.8
