Sloupec,Průměr,Směrodatná odchylka
Ec,13.001001001001,1.0426760502142454
Rel,50.003003003003,11.566614202921677
Erat_1,2.5001001001001,0.2947265129316324
E50_1,65.005005005005,5.013306439655445
c_1,29.998998998999,5.007909475382542
phi_1,29.997997997998,1.0373756757227144
k0_1,0.8507507507507508,0.14683343301523336
Erat_2,2.4994994994994997,0.29431784815269396
E50_2,129.987987987988,10.419740776600873
c_2,4.998598598598599,1.0058137803587488
phi_2,41.998998998999,1.0445962673312803
k0_2,0.55008008008008,0.05788172580320587
SF_6652_19,-1375689.2683683685,47207.89358211146
SF_6651_19,-1377920.254154154,46666.9899578865
SF_6650_19,-1382511.3157157155,45494.125319955965
SF_6649_19,-1389656.6137137136,43743.20455396773
SF_6648_19,-1399174.1971971972,41440.82651979494
SF_6647_19,-1411061.3712712713,38658.68136340685
SF_6646_19,-1425273.2919919922,35478.96040428826
SF_6645_19,-1441686.9366366367,31990.447865521237
SF_6644_19,-1460813.3970970972,28373.72762357839
SF_6643_19,-1482787.6592592592,24842.141932775605
SF_6642_19,-1509466.9404404406,21765.111618904073
SF_6641_19,-1542187.52032032,19438.167361876847
SF_6624_19,-1553566.4082082082,17939.520211483054
SF_6623_19,-1580162.0920920921,15020.706923127434
SF_6622_19,-1631050.7022022023,13646.886066184547
SF_6621_19,-1689210.681881882,13790.880526138078
SF_6620_19,-1745865.6913913914,14528.049583597687
SF_6619_19,-1801884.4731731731,16103.04103501982
SF_6618_19,-1854852.0944944946,17324.588864745525
SF_6617_19,-1903131.3179179179,18458.88404624382
SF_6616_19,-1945665.590890891,19431.582224414342
SF_6615_19,-1980789.2962962964,20055.75407636171
SF_6614_19,-2006449.991891892,20241.45824185396
SF_6613_19,-2024784.578078078,20028.44648252621
SF_6612_19,-2033804.57037037,19444.039241836534
SF_6611_19,-2033784.3836836836,18200.09754487128
SF_6610_19,-2026387.391791792,16843.093924387056
SF_6609_19,-2013289.4702702705,15972.790173877713
SF_6608_19,-1995345.2813813812,16165.533176078277
SF_6607_19,-1973294.2054054055,18161.741674597193
SF_6606_19,-1946796.457857858,22212.256560452173
SF_6605_19,-1919954.8339339339,27563.805228387402
SF_6604_19,-1878460.1055055056,41706.35985590568
SF_6581_19,-1849211.374874875,34612.18867249831
SF_6580_19,-1842098.6300300302,39643.42981223894
SF_6579_19,-1823443.377677678,43684.77949558024
SF_6578_19,-1800500.0514514516,47313.000071540744
SF_6577_19,-1766914.564864865,50877.16707975552
SF_6576_19,-1727279.621121121,53786.97576216965
SF_6575_19,-1679851.2346346348,57120.50539220012
SF_6574_19,-1626860.4401401402,60236.197747243066
SF_6573_19,-1569403.8099099097,61764.24715910633
SF_6572_19,-1509091.001901902,62882.393538392615
SF_6571_19,-1447264.121221221,64394.29494167431
SF_6570_19,-1383037.387187187,66130.57460328177
SF_6569_19,-1326777.3812812814,67070.84251922213
SF_6568_19,-1279676.3561561564,67271.96074129471
SF_6567_19,-1228620.398798799,66692.1041530872
SF_6566_19,-1171947.595235235,62730.48035580537
SF_6709_19,-1140652.657977978,74214.82477222652
SF_6708_19,-1130290.6024124124,81211.90775855466
SF_6707_19,-1132926.8549049052,85311.80779951524
SF_6706_19,-1136915.9615915916,88356.44712775982
SF_6705_19,-1138334.0984484483,90700.63846765987
SF_6704_19,-1140819.4108208208,92374.13217877097
SF_6703_19,-1143323.1785785784,93411.15346433732
SF_6702_19,-1144641.6067367366,93775.45946640465
SF_6701_19,-1144823.1704604605,93269.64107952332
SF_6700_19,-1144624.6478778778,91819.53308680508
SF_6699_19,-1145555.2827427424,89506.249482467
SF_6698_19,-1147586.626086086,86753.45449673188
SF_6697_19,-1146115.0950450448,83429.52305521711
SF_6696_19,-1144328.478028028,79153.48237393038
SF_6695_19,-1152774.5653653655,73230.15946481175
SF_6716_19,-1205721.9345345343,68576.23679127065
SF_6717_19,-1266023.539039039,71676.61952137112
SF_6718_19,-1322777.4762762764,71984.93119270314
SF_6719_19,-1373096.877977978,72425.54197471081
SF_6720_19,-1433803.1053053054,72935.84645790713
SF_6721_19,-1504361.6378378377,73258.9663046478
SF_6722_19,-1574036.7893893893,73220.48480751533
SF_6723_19,-1641981.912812813,72502.7919258156
