Ec;Rel;Erat_1;E50_1;c_1;phi_1;k0_1;Erat_2;E50_2;c_2;phi_2;k0_2;U_251_1;U_260_1;U_281_1;U_289_1;U_295_1;U_403_1;U_251_2;U_260_2;U_281_2;U_289_2;U_295_2;U_403_2;U_320_19.2;U_318_19.2;U_316_19.2;U_315_19.2;U_314_19.2;U_313_19.2;U_312_19.2;U_311_19.2;U_310_19.2;U_308_19.2;U_306_19.2
12.5;52.85;2.21;73.9;21.6;29.7;0.619;2.79;135;4.29;43.1;0.578;0;0.0025;-0.003142001;-0.008818923;-0.003730774;-0.005975863;-0.002951111;-0.008701589;-0.006160341;-0.000475029;0.000129388;3.09455E-05;-0.000112734;-0.003065491;-0.010105574;-0.01601224;-0.023663873;-0.027769601;-0.02439892;-0.017712398;-0.011355363;-0.003574874;-0.000301941
13.5;46.3;2.37;59.6;30.9;30.5;0.983;2.02;140;3.77;42;0.474;0;0.0025;-0.004041582;-0.010328863;-0.006064639;-0.008294756;-0.004313193;-0.010225962;-0.007086138;-0.001149651;-0.000575201;-0.001204412;7.09166E-05;-0.003405942;-0.011466128;-0.017314358;-0.025439935;-0.029641237;-0.026036538;-0.018946083;-0.012233509;-0.00332044;-1.50469E-05
12.4;43.72;2.96;76.7;31.1;30;1;2.84;138;6.48;41.5;0.588;0;0.0025;-0.001990467;-0.008265319;-0.003310086;-0.005630256;-0.002361054;-0.008763335;-0.00642995;-0.000353741;0.000274361;0.000194089;-0.00031565;-0.003434344;-0.010287168;-0.015513605;-0.022710303;-0.026571017;-0.023540506;-0.01736404;-0.011220669;-0.003486207;-0.000450857
13.6;37.05;2.41;63.7;23.4;30.6;1.05;2.42;124;4.09;42.5;0.635;0;0.0025;-0.001341314;-0.00801611;-0.003263626;-0.006256446;-0.002646797;-0.009217994;-0.006852491;-0.000643033;-5.30637E-05;-0.00049233;-0.000571036;-0.003680728;-0.01021376;-0.015210167;-0.022035312;-0.025780026;-0.0229479;-0.01711478;-0.011133869;-0.003708208;-0.000712157
13.6;65.04;2.32;63.5;32.8;32.1;0.995;2.99;132;5.64;40.3;0.614;0;0.0025;-0.001815937;-0.008099974;-0.003117463;-0.00552582;-0.002091393;-0.00843228;-0.006105813;-0.000130602;0.000442073;0.000293227;-0.000319772;-0.003319032;-0.009897786;-0.014986021;-0.021960888;-0.025761886;-0.02284313;-0.016860448;-0.01087175;-0.003410951;-0.000469298
12.5;35.49;2.8;66;26.2;29.6;0.715;2.17;134;5.72;42.5;0.65;0;0.0025;-0.001826137;-0.008089797;-0.003102059;-0.006221154;-0.00297112;-0.009153318;-0.006622443;-0.000571443;0.000058703;-0.000382067;-0.000477762;-0.003396809;-0.009911539;-0.015413254;-0.02257422;-0.026492218;-0.023426987;-0.017266475;-0.011155954;-0.003858823;-0.000674099
14.4;63.22;2.08;55.8;36.7;30.2;0.991;2.09;119;4.52;41.9;0.498;0;0.0025;-0.003700439;-0.010177827;-0.005965995;-0.008636492;-0.004531011;-0.010497222;-0.007355212;-0.001373523;-0.000824508;-0.00165168;-7.19792E-05;-0.003545023;-0.01137297;-0.017085701;-0.02501055;-0.029138604;-0.025664596;-0.018764397;-0.012176593;-0.003485041;-0.000168709
14.4;33.13;2.93;66.3;31.9;31.9;0.733;2.13;119;4.52;44.7;0.496;0;0.002;-0.004392662;-0.010387489;-0.006038505;-0.008602788;-0.00478594;-0.010303869;-0.007085744;-0.001415797;-0.000881482;-0.001646013;3.64414E-05;-0.003290218;-0.011187657;-0.017363157;-0.025507694;-0.029802311;-0.026119689;-0.018954638;-0.012216108;-0.003547821;-9.60788E-05
14.5;50.46;2.51;62.4;37.9;30.9;0.909;2.47;136;6.85;42.2;0.547;0;0.0025;-0.003017947;-0.009152635;-0.004496858;-0.006757739;-0.002991812;-0.008886334;-0.006149776;-0.000366929;0.000163357;-0.00021033;-0.000043078;-0.00309648;-0.010178504;-0.015616232;-0.02312318;-0.027116619;-0.023870885;-0.01736464;-0.011135023;-0.003194328;-0.000173037
14.6;34.35;2.75;69.3;32;29.3;0.835;2.22;134;3.91;41.8;0.595;0;0.0025;-0.002472653;-0.008750143;-0.004038729;-0.006792081;-0.00302048;-0.008960552;-0.00626353;-0.000398735;0.000136975;-0.000394248;-0.00021524;-0.003170735;-0.00990473;-0.015301526;-0.022564359;-0.026497085;-0.023367886;-0.01708439;-0.010974701;-0.003410288;-0.000369871
12.8;55.27;2.87;65.5;36.9;30.2;1.04;2.77;126;6.83;41;0.583;0;0.0025;-0.002085838;-0.008493804;-0.003676025;-0.006129489;-0.002709608;-0.009105614;-0.006671153;-0.000559363;5.42674E-05;-0.000167036;-0.000330148;-0.003521213;-0.010479377;-0.015698567;-0.022932598;-0.026801277;-0.023751756;-0.0175404;-0.011361063;-0.003508093;-0.000453655
