Ec,Rel,Erat_1,E50_1,c_1,phi_1,k0_1,Erat_2,E50_2,c_2,phi_2,k0_2
12.5,52.85,2.21,73.9,21.6,29.7,0.619,2.79,135.0,4.29,43.1,0.578
13.5,46.3,2.37,59.6,30.9,30.5,0.983,2.02,140.0,3.77,42.0,0.474
12.4,43.72,2.96,76.7,31.1,30.0,1.0,2.84,138.0,6.48,41.5,0.588
13.6,37.05,2.41,63.7,23.4,30.6,1.05,2.42,124.0,4.09,42.5,0.635
13.6,65.04,2.32,63.5,32.8,32.1,0.995,2.99,132.0,5.64,40.3,0.614
12.5,35.49,2.8,66.0,26.2,29.6,0.715,2.17,134.0,5.72,42.5,0.65
14.4,63.22,2.08,55.8,36.7,30.2,0.991,2.09,119.0,4.52,41.9,0.498
14.4,33.13,2.93,66.3,31.9,31.9,0.733,2.13,119.0,4.52,44.7,0.496
14.5,50.46,2.51,62.4,37.9,30.9,0.909,2.47,136.0,6.85,42.2,0.547
14.6,34.35,2.75,69.3,32.0,29.3,0.835,2.22,134.0,3.91,41.8,0.595
12.8,55.27,2.87,65.5,36.9,30.2,1.04,2.77,126.0,6.83,41.0,0.583
14.6,59.61,2.02,61.0,26.0,29.5,0.708,2.49,126.0,4.26,40.9,0.5
13.5,62.08,2.29,66.5,34.5,30.7,0.665,2.72,141.0,4.54,41.5,0.494
14.1,33.28,2.83,66.9,34.7,30.7,0.622,2.58,124.0,5.48,40.3,0.593
13.7,45.51,2.08,62.1,22.4,29.7,0.904,2.95,124.0,5.12,41.7,0.453
12.9,31.24,2.16,66.0,24.4,29.0,1.04,2.1,133.0,4.85,44.1,0.471
13.4,55.75,2.07,68.9,36.3,29.9,0.814,2.78,149.0,5.36,42.2,0.457
12.7,68.38,2.17,72.3,32.7,30.5,1.04,2.61,127.0,3.96,42.4,0.514
13.3,34.6,2.64,57.5,30.1,31.2,0.808,2.86,141.0,7.65,42.7,0.477
14.0,43.65,2.5,68.5,38.9,28.5,0.713,2.27,120.0,5.0,42.7,0.476
13.4,68.66,2.21,74.6,32.0,30.4,0.629,2.5,134.0,5.02,40.8,0.541
16.6,44.55,2.74,65.9,30.6,29.2,0.992,2.36,123.0,3.72,43.7,0.528
13.0,34.48,2.13,58.7,39.0,30.5,0.767,2.19,132.0,3.73,41.9,0.495
13.4,54.99,2.75,58.9,24.7,29.9,0.758,2.31,134.0,6.74,41.6,0.582
12.6,44.63,2.56,62.6,35.4,31.5,0.862,2.67,144.0,4.03,41.7,0.525
13.7,54.1,2.56,62.2,35.2,30.1,1.06,2.38,128.0,5.64,42.0,0.458
13.0,32.72,2.87,62.0,31.7,29.7,0.973,2.59,143.0,4.79,41.1,0.547
12.0,61.4,2.19,62.0,26.3,31.0,1.08,2.24,123.0,5.44,40.2,0.633
12.4,41.85,2.96,53.6,32.3,31.7,0.829,2.7,142.0,4.99,41.8,0.626
13.4,43.13,2.55,64.4,23.7,29.7,0.914,2.48,138.0,4.79,42.6,0.561
12.8,57.3,2.8,65.2,36.4,30.4,1.06,2.54,131.0,4.79,43.6,0.451
11.9,66.27,2.19,76.9,22.0,29.8,0.609,2.41,150.0,4.88,41.6,0.507
12.4,61.17,2.48,58.8,39.6,30.3,0.608,2.4,133.0,4.91,42.9,0.622
14.7,52.15,2.6,69.8,37.7,29.9,0.915,2.2,152.0,5.46,44.4,0.483
14.5,34.77,2.73,61.7,28.2,30.7,0.649,2.41,116.0,4.83,42.8,0.617
13.3,53.66,2.58,56.2,29.0,31.4,0.705,2.18,140.0,3.86,42.6,0.611
