Element No.;start_x;start_y;end_x;end_y
3741.0;4.53767729;19.9263821;4.54357624;19.7082214
3742.0;4.54357624;19.7082214;4.52103376;19.3949642
3743.0;4.52103376;19.3949642;4.45314455;19.0883217
3744.0;4.45314455;19.0883217;4.34135389;18.7948227
3745.0;4.34135389;18.7948227;4.18804169;18.5207157
3746.0;4.18804169;18.5207157;3.99647212;18.2718391
3747.0;3.99647212;18.2718391;3.7707243;18.0534897
3748.0;3.7707243;18.0534897;3.51560402;17.8703156
3749.0;3.51560402;17.8703156;3.23654342;17.7262192
3750.0;3.23654342;17.7262192;2.9563055;17.6125202
3751.0;2.9563055;17.6125202;2.67211485;17.5090961
3752.0;2.67211485;17.5090961;2.38434815;17.4160843
3753.0;2.38434815;17.4160843;2.09338689;17.3336086
3754.0;2.09338689;17.3336086;1.79961669;17.261776
3755.0;1.79961669;17.261776;1.50342667;17.2006836
3756.0;1.50342667;17.2006836;1.20520937;17.1504135
3757.0;1.20520937;17.1504135;0.905359864;17.1110287
3758.0;0.905359864;17.1110287;0.604275703;17.0825844
3759.0;0.604275703;17.0825844;0.302355677;17.0651169
3760.0;0.302355677;17.0651169;0.0;17.058651
3761.0;-0.302355677;17.0651169;0.0;17.058651
3762.0;-0.604275703;17.0825844;-0.302355677;17.0651169
3763.0;-0.905359864;17.1110287;-0.604275703;17.0825844
3764.0;-1.20520937;17.1504135;-0.905359864;17.1110287
3765.0;-1.50342667;17.2006836;-1.20520937;17.1504135
3766.0;-1.79961669;17.261776;-1.50342667;17.2006836
3767.0;-2.09338689;17.3336086;-1.79961669;17.261776
3768.0;-2.38434815;17.4160843;-2.09338689;17.3336086
3769.0;-2.67211485;17.5090961;-2.38434815;17.4160843
3770.0;-2.9563055;17.6125202;-2.67211485;17.5090961
3771.0;-3.23654342;17.7262192;-2.9563055;17.6125202
3772.0;-3.51560402;17.8703156;-3.23654342;17.7262192
3773.0;-3.7707243;18.0534897;-3.51560402;17.8703156
3774.0;-3.99647212;18.2718391;-3.7707243;18.0534897
3775.0;-4.18804169;18.5207157;-3.99647212;18.2718391
3776.0;-4.34135389;18.7948227;-4.18804169;18.5207157
3777.0;-4.45314455;19.0883217;-4.34135389;18.7948227
3778.0;-4.52103376;19.3949642;-4.45314455;19.0883217
3779.0;-4.54357624;19.7082214;-4.52103376;19.3949642
3780.0;-4.53767729;19.9263821;-4.54357624;19.7082214
3781.0;4.51142025;20.2233315;4.53767729;19.9263821
3782.0;4.46427488;20.5176849;4.51142025;20.2233315
3783.0;4.39647627;20.8079796;4.46427488;20.5176849
3784.0;4.30836201;21.0927658;4.39647627;20.8079796
3785.0;4.20037222;21.3706245;4.30836201;21.0927658
3786.0;4.0730443;21.6401691;4.20037222;21.3706245
3787.0;3.92701387;21.9000587;4.0730443;21.6401691
3788.0;3.76300859;22.1489964;3.92701387;21.9000587
3789.0;3.581846;22.3857403;3.76300859;22.1489964
3790.0;3.38442945;22.6091099;3.581846;22.3857403
3791.0;3.17174315;22.8179913;3.38442945;22.6091099
3792.0;2.94484735;23.0113449;3.17174315;22.8179913
3793.0;2.70487356;23.1882057;2.94484735;23.0113449
3794.0;2.45301771;23.3476925;2.70487356;23.1882057
3795.0;2.19053578;23.4890099;2.45301771;23.3476925
3796.0;1.93271232;23.6071587;2.19053578;23.4890099
3797.0;1.66854656;23.7103519;1.93271232;23.6071587
3798.0;1.39890516;23.7982483;1.66854656;23.7103519
3799.0;1.12467301;23.8705597;1.39890516;23.7982483
3800.0;0.8467502;23.9270496;1.12467301;23.8705597
3801.0;0.566048622;23.9675331;0.8467502;23.9270496
3802.0;0.283489466;23.9918766;0.566048622;23.9675331
3803.0;0.0;24.0;0.283489466;23.9918766
3804.0;-4.51142025;20.2233315;-4.53767729;19.9263821
3805.0;-4.46427488;20.5176849;-4.51142025;20.2233315
3806.0;-4.39647627;20.8079796;-4.46427488;20.5176849
3807.0;-4.30836201;21.0927658;-4.39647627;20.8079796
3808.0;-4.20037222;21.3706245;-4.30836201;21.0927658
3809.0;-4.0730443;21.6401691;-4.20037222;21.3706245
3810.0;-3.92701387;21.9000587;-4.0730443;21.6401691
3811.0;-3.76300859;22.1489964;-3.92701387;21.9000587
3812.0;-3.581846;22.3857403;-3.76300859;22.1489964
3813.0;-3.38442945;22.6091099;-3.581846;22.3857403
3814.0;-3.17174315;22.8179913;-3.38442945;22.6091099
3815.0;-2.94484735;23.0113449;-3.17174315;22.8179913
3816.0;-2.70487356;23.1882057;-2.94484735;23.0113449
3817.0;-2.45301771;23.3476925;-2.70487356;23.1882057
3818.0;-2.19053578;23.4890099;-2.45301771;23.3476925
3819.0;-1.93271232;23.6071587;-2.19053578;23.4890099
3820.0;-1.66854656;23.7103519;-1.93271232;23.6071587
3821.0;-1.39890516;23.7982483;-1.66854656;23.7103519
3822.0;-1.12467301;23.8705597;-1.39890516;23.7982483
3823.0;-0.8467502;23.9270496;-1.12467301;23.8705597
3824.0;-0.566048622;23.9675331;-0.8467502;23.9270496
3825.0;-0.283489466;23.9918766;-0.566048622;23.9675331
3826.0;0.0;24.0;-0.283489466;23.9918766
