column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full,S1_Ec,ST_Ec,S1_Rel,ST_Rel,S1_Erat_1,ST_Erat_1,S1_E50_1,ST_E50_1,S1_c_1,ST_c_1,S1_phi_1,ST_phi_1,S1_k0_1,ST_k0_1,S1_Erat_2,ST_Erat_2,S1_E50_2,ST_E50_2,S1_c_2,ST_c_2,S1_phi_2,ST_phi_2,S1_k0_2,ST_k0_2
SF_6652_19,0.288787275,,1069.483309077071,185.5897152968254,0.288787275,0.838161275,,,0.47720022206426593,0.47720022206426593,0.0,0.0,0.01766327587436223,0.01766327587436223,0.007896879005131734,0.007896879005131734,0.0,0.0,0.010865768304786336,0.010865768304786336,0.0924551383942015,0.0924551383942015,0.006416391890398858,0.006416391890398858,0.012572141789881646,0.012572141789881646,0.012076238497799126,0.012076238497799126,0.008946940347314305,0.008946940347314305,0.35390700383185825,0.35390700383185825
SF_6651_19,0.096574925,,-670.082552994618,693.9454116287877,0.096574925,0.27379995,,,0.5361533560324374,0.5361533560324374,0.0024806929908383715,0.0024806929908383715,0.0020710775579552173,0.0020710775579552173,0.0007289576643355687,0.0007289576643355687,0.0005107224957990531,0.0005107224957990531,0.0059916416334448224,0.0059916416334448224,0.4039882860506415,0.4039882860506415,0.006006979662649616,0.006006979662649616,0.006661441326054858,0.006661441326054858,0.0015409790612673883,0.0015409790612673883,0.0044258605948188515,0.0044258605948188515,0.029440004929757332,0.029440004929757332
SF_6650_19,0.0763219,,-3460.732920392883,1233.0984593255096,0.0763219,0.21465272500000004,,,0.5148084680488862,0.5148084680488862,0.002062367150899398,0.002062367150899398,0.0010661812267341781,0.0010661812267341781,0.0013299065746249818,0.0013299065746249818,0.0002182193942095506,0.0002182193942095506,0.001026532916829912,0.001026532916829912,0.45882445658177407,0.45882445658177407,0.006571061664394556,0.006571061664394556,0.006644317776617788,0.006644317776617788,0.0009767705336331692,0.0009767705336331692,0.0011054948663605526,0.0011054948663605526,0.005366223265035506,0.005366223265035506
SF_6649_19,0.064333075,,-7942.532354476743,1768.6823823545574,0.064333075,0.1863597,,,0.47031747554764347,0.47031747554764347,0.0016620846245150398,0.0016620846245150398,0.0005993404031786438,0.0005993404031786438,0.00034792063664842033,0.00034792063664842033,0.00139395826450104,0.00139395826450104,0.0003318983900200873,0.0003318983900200873,0.5034709198609199,0.5034709198609199,0.01235644571351795,0.01235644571351795,0.007337732194213317,0.007337732194213317,0.0009065535765475209,0.0009065535765475209,0.0006656198598990965,0.0006656198598990965,0.0006100509283954779,0.0006100509283954779
SF_6648_19,0.0578199,,-14604.680392378834,2296.821949790471,0.0578199,0.16609207499999998,,,0.4316277080903557,0.4316277080903557,0.0013980254398790694,0.0013980254398790694,0.000392126184657543,0.000392126184657543,0.0003368876610133944,0.0003368876610133944,0.0018251436098231904,0.0018251436098231904,0.00023638950036234337,0.00023638950036234337,0.5334125937583485,0.5334125937583485,0.017471902475603013,0.017471902475603013,0.009639036369026523,0.009639036369026523,0.0007161288525876353,0.0007161288525876353,0.000940858420691601,0.000940858420691601,0.002003199637651634,0.002003199637651634
SF_6647_19,0.05243225,,-23676.85476958088,2763.143912911454,0.05243225,0.1498378,,,0.3827371682083027,0.3827371682083027,0.0018582117745183167,0.0018582117745183167,0.0003251891175484148,0.0003251891175484148,0.001746035529540297,0.001746035529540297,0.00120297901128648,0.00120297901128648,3.0100353958383985e-05,3.0100353958383985e-05,0.5622936048862115,0.5622936048862115,0.026849607423065858,0.026849607423065858,0.0168479767351536,0.0168479767351536,0.0006700244222063624,0.0006700244222063624,0.0010860215359758361,0.0010860215359758361,0.004353081002232103,0.004353081002232103
SF_6646_19,0.046636275,,-35156.64778281531,3141.225140596064,0.046636275,0.1343462,,,0.3308217229572463,0.3308217229572463,0.0017541228672447156,0.0017541228672447156,0.000515744698461496,0.000515744698461496,0.0031725257411313575,0.0031725257411313575,0.0022942554103529645,0.0022942554103529645,0.00039500761020463797,0.00039500761020463797,0.5907684661385906,0.5907684661385906,0.03848251921185436,0.03848251921185436,0.02123822075813409,0.02123822075813409,0.0028657342009665476,0.0028657342009665476,0.0013159361978019044,0.0013159361978019044,0.0063757442080109965,0.0063757442080109965
SF_6645_19,0.04313,,-48704.04005606916,3361.228624274737,0.04313,0.1160831,,,0.2710946197838473,0.2710946197838473,0.0009861634670273673,0.0009861634670273673,0.0004883991771560114,0.0004883991771560114,0.0033549911214849444,0.0033549911214849444,0.0023117934719552235,0.0023117934719552235,0.0003819076847800069,0.0003819076847800069,0.6080603868839216,0.6080603868839216,0.05309321528207153,0.05309321528207153,0.02899054200532903,0.02899054200532903,0.0025801936272407755,0.0025801936272407755,0.0014773320095789256,0.0014773320095789256,0.027180455485607324,0.027180455485607324
SF_6644_19,0.04118175,,-63000.18809066668,3485.5263576158914,0.04118175,0.08942625,,,0.18003433399066018,0.18003433399066018,2.4906974563960384e-05,2.4906974563960384e-05,0.0008136991866081443,0.0008136991866081443,0.0011814655398832167,0.0011814655398832167,0.0022029982514947355,0.0022029982514947355,0.0003435622180076823,0.0003435622180076823,0.6118162603811415,0.6118162603811415,0.05726628463945509,0.05726628463945509,0.03716613196790431,0.03716613196790431,0.0013883878965331995,0.0013883878965331995,0.00031252114467659596,0.00031252114467659596,0.1074494478090715,0.1074494478090715
SF_6643_19,0.0368426,,-75751.5031595171,3647.571741818422,0.0405099,0.057774675,,,0.07643671931057744,0.07643671931057744,0.000510823243503188,0.000510823243503188,0.0007404056235354153,0.0007404056235354153,0.0009561224038292481,0.0009561224038292481,0.002360246190186597,0.002360246190186597,0.0007160876346333024,0.0007160876346333024,0.5037226866808759,0.5037226866808759,0.05516722286667729,0.05516722286667729,0.03597129395291895,0.03597129395291895,0.001629700085367944,0.001629700085367944,0.00031509142502632813,0.00031509142502632813,0.3214736005828684,0.3214736005828684
SF_6642_19,0.0199169,,-79639.78761803459,4008.2219458462787,0.0199169,0.032939675,,,0.011931762095071265,0.011931762095071265,0.0,0.0,0.00046673580731524826,0.00046673580731524826,2.9574509310053555e-05,2.9574509310053555e-05,0.001462399844243629,0.001462399844243629,1.963144460141437e-05,1.963144460141437e-05,0.27308164242176275,0.27308164242176275,0.027288257675448242,0.027288257675448242,0.021076834733699364,0.021076834733699364,0.0,0.0,4.3603636502846004e-05,4.3603636502846004e-05,0.6645995578320452,0.6645995578320452
SF_6641_19,0.0076825,,-64160.18635914274,4921.0646136394835,0.0076825,0.023399425,,,0.005919922445639177,0.005919922445639177,0.0,0.0,0.0006201528565312459,0.0006201528565312459,6.114282599823126e-05,6.114282599823126e-05,0.0012590737575122264,0.0012590737575122264,0.0004441514432504762,0.0004441514432504762,0.04018901413130989,0.04018901413130989,0.00043310222824519953,0.00043310222824519953,0.0005898782270439736,0.0005898782270439736,0.0001643995037337843,0.0001643995037337843,0.0004168815679653496,0.0004168815679653496,0.9499022810127704,0.9499022810127704
SF_6624_19,0.015503675000000001,,28200.854095655974,4323.1809807813515,0.015503675000000001,0.06205935,,,0.045079141662005384,0.045079141662005384,0.000133716052716811,0.000133716052716811,9.843739947985063e-05,9.843739947985063e-05,0.0006698286975523474,0.0006698286975523474,0.0005408369140094993,0.0005408369140094993,3.813987091845311e-05,3.813987091845311e-05,0.6488079471520275,0.6488079471520275,0.02377269888135463,0.02377269888135463,0.019016679664168274,0.019016679664168274,0.0008223827209593832,0.0008223827209593832,0.0001529677671142911,0.0001529677671142911,0.2608672232176937,0.2608672232176937
SF_6623_19,0.030524549999999998,,115444.47551684608,5688.030401184075,0.030524549999999998,0.08110567499999999,,,0.18542638682508836,0.18542638682508836,0.0012750908378570123,0.0012750908378570123,0.0003504032938676509,0.0003504032938676509,0.0031480622927295126,0.0031480622927295126,0.001129998498753714,0.001129998498753714,0.003742461995104712,0.003742461995104712,0.6875454711813184,0.6875454711813184,0.014236845471104235,0.014236845471104235,0.02043512900548999,0.02043512900548999,0.0011069970546587794,0.0011069970546587794,0.0012353368071682063,0.0012353368071682063,0.08036781673685948,0.08036781673685948
SF_6622_19,0.048108,,122983.52923213098,5939.28939672852,0.048108,0.1290827,,,0.37754768482586654,0.37754768482586654,0.0027054464547819506,0.0027054464547819506,0.0005329804621560505,0.0005329804621560505,0.003928827975581028,0.003928827975581028,0.001687765046565609,0.001687765046565609,0.006666262877508945,0.006666262877508945,0.2835575984505116,0.2835575984505116,0.011959997560928994,0.011959997560928994,0.01695916255717059,0.01695916255717059,0.0008677597327268595,0.0008677597327268595,0.0024654986398724077,0.0024654986398724077,0.29112101541632945,0.29112101541632945
SF_6621_19,0.068551425,,94193.45487019434,4784.051740574629,0.068551425,0.19954977499999998,,,0.5557229568011436,0.5557229568011436,0.004903394004249363,0.004903394004249363,0.0006288686901396327,0.0006288686901396327,0.00785510812890645,0.00785510812890645,0.0048893503780546325,0.0048893503780546325,0.008623537948613695,0.008623537948613695,0.07523375059428805,0.07523375059428805,0.02141147844849021,0.02141147844849021,0.014665569242576152,0.014665569242576152,0.004387902302866717,0.004387902302866717,0.002838235444239161,0.002838235444239161,0.29883984801643226,0.29883984801643226
SF_6620_19,0.11944042500000002,,56190.221889776505,2971.16039127864,0.11944042500000002,0.303348475,,,0.7961869421084393,0.7961869421084393,0.004609428588001592,0.004609428588001592,0.0031462420774832976,0.0031462420774832976,0.0011057798295851977,0.0011057798295851977,0.011357565200391972,0.011357565200391972,0.003744448758900853,0.003744448758900853,0.003984477024911433,0.003984477024911433,0.06064034313265332,0.06064034313265332,0.02390572091728141,0.02390572091728141,0.002767497803451941,0.002767497803451941,0.003733125741794952,0.003733125741794952,0.08481842881710466,0.08481842881710466
SF_6619_19,0.09154847499999999,,28151.868920462468,2376.538044670739,0.09154847499999999,0.22559835,,,0.7654234656026184,0.7654234656026184,0.0027659605619837335,0.0027659605619837335,0.002910143978874408,0.002910143978874408,0.004033195403295192,0.004033195403295192,0.010670382424096687,0.010670382424096687,0.0035922249655881734,0.0035922249655881734,0.05745485512541082,0.05745485512541082,0.07951195147489681,0.07951195147489681,0.014973204402591016,0.014973204402591016,0.009429049395432638,0.009429049395432638,0.004264827202427528,0.004264827202427528,0.04497073946278467,0.04497073946278467
SF_6618_19,0.08026465,,15999.118400478374,1932.1799815194004,0.08026465,0.199682875,,,0.647409172108196,0.647409172108196,0.003593283520860571,0.003593283520860571,0.0017271721123561872,0.0017271721123561872,0.004577051644962411,0.004577051644962411,0.007951056927493748,0.007951056927493748,0.0022700667434520897,0.0022700667434520897,0.20124182434603938,0.20124182434603938,0.03262472339881916,0.03262472339881916,0.0037368664053525212,0.0037368664053525212,0.0036483739008667214,0.0036483739008667214,0.0005510327575106303,0.0005510327575106303,0.09066937613409043,0.09066937613409043
SF_6617_19,0.045351325,,17794.90060243702,2042.4296167361126,0.045351325,0.104051925,,,0.2993481515420274,0.2993481515420274,0.0013683964555148045,0.0013683964555148045,0.0005760133054276723,0.0005760133054276723,9.662929565049867e-05,9.662929565049867e-05,0.002486873148817698,0.002486873148817698,0.0006470775441308219,0.0006470775441308219,0.1781846134278615,0.1781846134278615,0.006594935562937054,0.006594935562937054,0.004409659063882472,0.004409659063882472,0.0013717922867639812,0.0013717922867639812,8.110856412899734e-05,8.110856412899734e-05,0.5048347498028571,0.5048347498028571
SF_6616_19,0.0199091,,30131.738159084965,2418.242991914378,0.0199091,0.054053425,,,0.12380253711057657,0.12380253711057657,0.0007607517699838382,0.0007607517699838382,0.0003780301616070239,0.0003780301616070239,3.316619639040267e-05,3.316619639040267e-05,0.0010816590379683969,0.0010816590379683969,0.0007846658220923265,0.0007846658220923265,0.08518761972904818,0.08518761972904818,0.0005078371800162592,0.0005078371800162592,0.004459977011776528,0.004459977011776528,0.0005009935273781163,0.0005009935273781163,0.0006061283960563601,0.0006061283960563601,0.781896634057106,0.781896634057106
