SF_6652_19,SF_6651_19,SF_6650_19,SF_6649_19,SF_6648_19,SF_6647_19,SF_6646_19,SF_6645_19,SF_6644_19,SF_6643_19,SF_6642_19,SF_6641_19,SF_6624_19,SF_6623_19,SF_6622_19,SF_6621_19,SF_6620_19,SF_6619_19,SF_6618_19,SF_6617_19,SF_6616_19,SF_6615_19,SF_6614_19,SF_6613_19,SF_6612_19,SF_6611_19,SF_6610_19,SF_6609_19,SF_6608_19,SF_6607_19,SF_6606_19,SF_6605_19,SF_6604_19,SF_6581_19,SF_6580_19,SF_6579_19,SF_6578_19,SF_6577_19,SF_6576_19,SF_6575_19,SF_6574_19,SF_6573_19,SF_6572_19,SF_6571_19,SF_6570_19,SF_6569_19,SF_6568_19,SF_6567_19,SF_6566_19,SF_6709_19,SF_6708_19,SF_6707_19,SF_6706_19,SF_6705_19,SF_6704_19,SF_6703_19,SF_6702_19,SF_6701_19,SF_6700_19,SF_6699_19,SF_6698_19,SF_6697_19,SF_6696_19,SF_6695_19,SF_6716_19,SF_6717_19,SF_6718_19,SF_6719_19,SF_6720_19,SF_6721_19,SF_6722_19,SF_6723_19,SF_6724_19,SF_6725_19,SF_6726_19,SF_6727_19,SF_6728_19,SF_6729_19,SF_6730_19,SF_6731_19,SF_6691_19,SF_6690_19,SF_6689_19,SF_6688_19,SF_6687_19,SF_6686_19,SF_6685_19,SF_6684_19,SF_6683_19,SF_6682_19,SF_6681_19,SF_6680_19,SF_6679_19,SF_6678_19,SF_6677_19,SF_6676_19,SF_6675_19,SF_6674_19,SF_6673_19,SF_6672_19,SF_6671_19,SF_6664_19,SF_6663_19,SF_6662_19,SF_6661_19,SF_6660_19,SF_6659_19,SF_6658_19,SF_6657_19,SF_6656_19,SF_6655_19,SF_6654_19,SF_6653_19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239.6934,406.8471,-1426.7191,-4874.4927,-10496.127,-18607.592,-29350.805,-42521.61,-56906.58,-70506.65,-76377.03,-64606.67,20050.033,105752.234,116027.36,90467.54,54148.598,26702.184,15493.653,17271.482,29365.875,31317.355,19935.873,9527.549,-1753.3608,-13982.883,-28222.459,-42769.586,-57713.098,-73355.625,-86254.336,-86813.01,7720.0884,103586.734,82923.5,70187.234,68793.96,57318.695,31787.592,13999.76,-3647.2563,-26367.451,-54873.457,-88542.96,-127984.586,-126409.35,-85684.08,-42249.156,15494.909,75802.82,74901.1,66698.55,54240.047,39985.39,26108.709,12122.1875,-2041.7468,-16076.235,-29618.178,-42915.69,-56297.906,-67621.72,-74551.49,-72347.99,-14358.684,41540.742,86130.03,128427.9,130373.55,89585.69,55477.4,27683.666,4931.7905,-13274.815,-31734.32,-56699.047,-67584.74,-64623.938,-76019.46,-95660.8,-4585.6284,81890.88,76307.69,62173.336,48787.89,37515.617,27795.51,18351.773,8407.79,-3314.0728,-15740.55,-30321.758,-31077.209,-19949.828,-17999.574,-28558.28,-55596.89,-92567.93,-117626.99,-88017.93,-39907.824,58564.17,72228.57,68596.78,56763.055,43583.38,31364.498,20984.627,13186.713,7660.655,4256.4688,2447.0422,1681.4628
1408.6901,-920.4918,-4422.0254,-9739.6045,-17262.93,-27021.1,-38854.65,-52219.51,-65707.46,-76814.766,-78129.02,-58614.266,35357.402,118567.16,122782.22,94032.02,58673.54,30448.262,17146.195,19777.268,33072.832,35367.1,23380.65,11258.055,-2284.921,-16863.729,-32525.248,-47742.473,-61060.934,-71261.88,-75886.22,-69259.695,-1488.5645,100834.72,82834.73,74069.85,72829.16,59581.87,33444.754,17403.365,1024.1604,-28610.576,-63538.92,-100075.8,-139359.66,-137707.58,-98129.14,-58484.95,-2561.0544,91066.4,96639.81,89665.87,75548.484,57472.363,38005.566,17465.396,-3684.3245,-23993.768,-42512.934,-59694.02,-75369.445,-87555.66,-93225.97,-87017.266,-5190.151,57806.723,103144.74,143527.27,144218.73,102548.55,64036.37,28941.494,-1984.7001,-22461.227,-35780.574,-58409.9,-69832.53,-65822.82,-74320.305,-90543.57,2021.2585,63549.633,66423.945,60609.6,52147.684,42977.64,32867.33,21043.963,8481.729,-4710.705,-18260.174,-33925.59,-35293.523,-24161.494,-22071.943,-36218.207,-64682.543,-98581.41,-124517.43,-99353.62,-52206.87,51741.543,73944.06,74997.57,65590.81,53300.7,40869.277,29583.0,20462.635,13478.9,8594.434,5381.331,3246.1838
965.5,-883.6669,-3742.327,-8270.148,-14973.853,-24102.816,-35749.74,-49610.684,-64483.867,-77981.734,-82864.875,-68638.77,28508.465,118933.22,125476.49,94342.805,53782.836,24878.553,13379.176,15350.527,27693.021,30245.662,19605.67,9844.914,-982.6209,-13111.25,-27399.725,-42074.375,-57292.066,-73503.72,-87353.18,-89254.164,9010.623,101396.93,81450.27,68770.04,67730.83,56420.938,31382.936,13775.919,-1961.3392,-24370.645,-53902.434,-88494.18,-128092.055,-125691.49,-83503.43,-39806.38,15446.759,74555.805,72938.32,64762.965,52459.863,38489.773,25056.566,11591.092,-2078.6758,-15654.783,-28804.746,-41695.88,-54740.707,-65688.32,-72234.03,-69871.516,-15732.089,38043.984,83514.125,127716.84,130659.516,90158.3,55937.01,27479.531,3903.0864,-14525.51,-30641.004,-56567.215,-67115.766,-64138.89,-75463.65,-94718.41,-4899.253,85481.75,78102.74,62499.89,48217.7,36554.324,26881.996,17905.521,8687.347,-2691.2427,-15510.078,-30342.791,-30594.922,-18833.201,-16253.043,-27000.424,-55196.094,-95631.26,-127524.39,-101454.5,-46564.89,60930.7,78006.75,75566.1,64063.957,50694.4,37988.33,26873.857,18114.363,11571.216,7083.526,4222.9106,2424.3003
766.06274,-1866.3108,-5503.3086,-10804.323,-18261.238,-28102.375,-40370.785,-54668.26,-69732.61,-83103.5,-87366.73,-71578.24,31762.812,126206.9,133841.11,101061.305,58783.973,28583.406,14915.005,15283.63,26646.48,28761.656,17812.455,7788.533,-3333.2617,-15626.524,-29932.156,-43865.74,-58283.496,-73619.266,-86698.71,-87135.51,-5632.8037,107330.68,90460.38,78111.63,76614.11,62736.863,33636.46,12723.512,-3645.5486,-23832.23,-55003.035,-92944.484,-136914.42,-136094.11,-93592.81,-50728.355,33.82562,81908.04,78055.09,67192.89,53560.51,38955.34,25190.256,11858.025,-1417.0634,-14709.353,-28086.938,-41970.004,-56485.445,-69551.39,-79011.51,-79091.89,-8481.872,50327.355,96476.11,141144.42,142342.72,97164.99,58913.21,27147.396,2259.1038,-13999.833,-32846.582,-63308.266,-75695.49,-74099.14,-85423.13,-102030.3,9173.698,83452.12,78268.22,63660.27,49931.75,38330.54,28598.648,19856.658,11102.216,-187.25655,-13176.544,-28474.842,-29188.053,-18302.594,-17140.3,-30181.541,-61104.055,-104380.51,-138526.89,-110445.15,-50433.734,64508.594,83442.1,81517.01,69962.25,56258.7,43032.957,31278.783,21800.309,14506.699,9239.541,5593.9224,3009.286
774.5268,-1600.7797,-4959.766,-9941.824,-17031.932,-26455.098,-38268.87,-52129.113,-66816.26,-79988.24,-84465.79,-69943.43,28893.242,122859.47,131204.89,99661.95,58122.492,28247.598,15313.243,16209.444,27888.01,30205.059,19285.066,9196.553,-2124.374,-14706.886,-29559.277,-44906.48,-61106.56,-78520.76,-93612.24,-96418.5,8490.411,105264.695,87929.72,75334.24,74599.12,62434.18,34678.14,14554.801,-3051.6968,-26046.193,-57017.58,-92864.71,-133885.45,-130504.766,-86054.88,-40676.766,14204.558,73645.84,71858.93,63396.63,51278.848,37657.965,24551.92,11464.996,-1802.7668,-15040.177,-27976.219,-40843.94,-54026.195,-65103.88,-71893.15,-69359.766,-14513.282,39237.16,86201.9,132520.19,136354.39,94905.54,59648.82,29943.572,4700.6777,-14920.684,-33579.406,-62101.137,-74619.4,-71646.266,-81953.695,-98797.55,-3867.6104,92459.08,84256.2,67319.74,51861.38,39168.734,28700.076,19314.344,9978.903,-1801.3488,-15013.476,-30214.924,-30765.764,-19484.006,-17793.525,-29974.568,-60172.84,-102446.03,-134938.06,-106537.87,-47566.418,62577.477,80372.555,78385.68,67103.97,53780.164,40951.156,29574.451,20449.486,13466.591,8486.704,5103.4575,2769.2996
1101.6938,-138.23389,-2399.0645,-6335.7197,-12543.956,-21392.523,-33057.742,-47326.77,-62983.91,-77902.42,-84798.97,-72892.58,20553.283,113088.35,123942.78,96130.125,57722.617,29273.312,16000.168,16114.54,27147.744,28604.398,17212.455,7054.5347,-3703.4104,-14786.049,-27471.713,-40040.83,-53471.492,-68228.03,-81191.62,-82192.65,-6188.625,104238.96,86169.09,72856.54,70714.61,56685.27,29140.79,10090.543,-3434.677,-20900.855,-48524.605,-85024.734,-128585.34,-129295.57,-89632.73,-51436.227,-5731.0127,80743.33,76066.26,64531.2,51011.41,36928.902,23792.209,11255.312,-1138.2972,-13571.16,-26220.086,-39496.832,-53671.633,-67104.01,-77551.52,-78935.25,-3892.676,51015.707,92877.92,134674.47,134440.95,89422.48,52264.773,22854.457,2592.0518,-10780.044,-28098.756,-57315.004,-69494.53,-69434.66,-82610.7,-101563.695,9792.575,79231.93,73957.39,59589.938,46269.977,35229.67,26127.021,18059.393,9900.863,-720.27313,-12710.217,-27417.691,-28398.955,-18056.553,-17387.127,-30140.107,-59222.977,-98345.54,-126147.18,-96035.516,-41119.535,66536.836,80654.39,75947.54,62784.3,48347.22,35079.625,23855.465,15359.986,9275.004,5377.3267,3126.8271,1946.5851
1032.2327,-1715.6327,-5550.119,-11107.868,-18814.564,-28754.166,-40791.863,-54347.043,-67905.37,-78885.77,-79803.055,-59543.945,37328.895,123068.586,129179.31,98705.16,60093.758,31237.97,17719.4,19441.236,32236.545,34305.105,22089.36,10019.281,-3520.1606,-18018.822,-33568.145,-48825.23,-62017.562,-72366.3,-77816.46,-71469.664,-6643.301,106210.12,89398.9,80599.29,79282.14,65560.57,36740.88,17271.684,-1920.4194,-31760.012,-67162.734,-104772.91,-145847.6,-144520.61,-103198.73,-61789.688,-7496.3926,93582.805,99088.914,91637.8,76898.7,58418.027,38618.5,18064.04,-2902.914,-23309.53,-42416.617,-60287.87,-76711.234,-89630.0,-95810.03,-88910.234,-1469.8254,61334.242,107922.12,150056.83,150680.14,107414.93,67861.4,31965.654,115.13186,-22287.086,-39396.28,-65058.254,-76970.49,-72680.766,-81081.77,-95809.53,7683.3057,64937.52,67713.336,61482.69,52943.863,43745.867,33904.582,22653.172,10339.62,-2968.5466,-16735.938,-32659.475,-34309.793,-23742.223,-22593.766,-36755.062,-65554.34,-102098.39,-131416.48,-105218.664,-55525.285,52265.32,75542.41,77145.086,68001.64,55790.56,43287.176,31805.121,22381.18,15012.804,9676.875,5974.8535,3343.0728
438.1256,-1685.7186,-4825.5835,-9574.337,-16410.918,-25538.97,-36929.836,-50112.25,-63553.11,-74904.37,-76845.516,-58588.773,30471.213,115488.92,124652.84,97111.82,60079.977,32447.412,19944.83,21660.648,33828.375,35089.375,22137.303,9506.786,-4332.838,-18803.584,-34242.043,-49423.76,-62554.645,-72800.26,-77958.195,-71040.47,-5283.0103,110204.57,91225.83,80904.664,78202.54,63901.926,35473.65,16872.492,-1262.773,-29872.164,-65579.96,-103901.03,-145542.28,-144860.48,-103841.97,-61797.95,-6226.767,93270.14,98057.42,90399.45,75749.51,57454.22,37874.516,17641.824,-2943.564,-22959.596,-41718.035,-59348.79,-75604.766,-88518.414,-95016.76,-88675.34,-2100.1323,61883.273,108736.68,150281.69,150156.31,106272.02,66112.48,29854.127,-1538.163,-22009.287,-38266.004,-63438.1,-75543.51,-72263.63,-82141.97,-99004.0,6160.6885,64320.695,67803.11,62008.15,53631.51,44380.016,34280.844,22598.57,9807.017,-3846.0906,-17610.896,-33123.094,-34742.94,-24556.033,-23639.682,-36596.664,-64323.098,-100934.09,-127712.836,-98266.16,-49979.484,52520.41,73409.51,74014.305,64470.508,52257.9,40001.47,28921.926,19914.455,12826.459,7767.4946,4395.223,2204.9973
