Sloupec,Průměr,Směrodatná odchylka
Ec,13.0,1.0426346853462563
Rel,50.0,11.56121367597977
Erat_1,2.5,0.2945959721156872
E50_1,64.999,5.014393596751569
c_1,29.995,5.006999605057408
phi_1,30.0,1.038787311762653
k0_1,0.851,0.14697142783752426
Erat_2,2.5,0.2945959721156872
E50_2,129.978,10.419312744998015
c_2,4.997700000000001,1.0057117709195642
phi_2,41.999,1.0440733159549138
k0_2,0.55,0.05790814582900538
SF_6652_19,1077.7096590180001,230.92250053186478
SF_6651_19,-664.1571265411,762.4852513221608
SF_6650_19,-3454.46674751,1342.9798546058696
SF_6649_19,-7930.760521199999,1934.1343554171297
SF_6648_19,-14590.414391,2500.2113476685536
SF_6647_19,-23648.157283,2988.4457732480055
SF_6646_19,-35133.406876,3350.914632973689
SF_6645_19,-48679.35364,3547.1594140848265
SF_6644_19,-62978.00001900001,3642.394775391419
SF_6643_19,-75717.18878600001,3717.9919269922407
SF_6642_19,-79650.17336100001,4024.934824613578
SF_6641_19,-64167.557449,4929.7820471891055
SF_6624_19,28211.434807999998,4571.511132538961
SF_6623_19,115325.75242399999,5912.198257944224
SF_6622_19,122793.249227,6180.074280825547
SF_6621_19,94014.66156299999,5005.826331709394
SF_6620_19,56195.362212,3374.9997510796024
SF_6619_19,28126.662382,2640.698461794953
SF_6618_19,15955.193293000002,2076.853223707418
SF_6617_19,17751.715189000002,2122.0198236088127
SF_6616_19,30094.461277000002,2461.2394943436384
SF_6615_19,32198.772362999996,2405.050925509769
SF_6614_19,20681.808355999998,1966.735266846242
SF_6613_19,9764.9792428,1303.924001864942
SF_6612_19,-2213.414916147,1086.3169866296537
SF_6611_19,-15119.317477,1703.4708443570298
SF_6610_19,-29710.032406,2469.010617042284
SF_6609_19,-44387.453988,3347.6397287391487
SF_6608_19,-58678.500143000005,3921.8153362168587
SF_6607_19,-72405.940886,4211.38334487978
SF_6606_19,-82583.20229700001,5394.607247331462
SF_6605_19,-80809.364829,7352.012132076218
SF_6604_19,991.65273117074,6204.249402024957
SF_6581_19,102396.83792,4431.48034378217
SF_6580_19,83862.172391,5056.640703015851
SF_6579_19,72876.32846599999,4758.004237342705
SF_6578_19,71725.38395100001,4743.782750335033
SF_6577_19,59162.23951199999,4093.398179602059
SF_6576_19,32763.368413000004,2724.8013871331127
SF_6575_19,15506.720733,3119.7949791960564
SF_6574_19,-777.2187262929,2918.3094816512644
SF_6573_19,-26413.79907,2996.67333054632
SF_6572_19,-58404.80581400001,5163.330517587206
SF_6571_19,-94322.535061,5816.748474105226
SF_6570_19,-134426.18550800002,5681.907554462627
SF_6569_19,-132561.00396600002,5414.910283465976
SF_6568_19,-91201.86380999998,5088.746832374155
SF_6567_19,-47989.220381,5760.570063490864
SF_6566_19,8125.244749072699,8417.128122862883
SF_6709_19,82265.927403,5555.648424543526
SF_6708_19,82479.06422999999,7478.946940818971
SF_6707_19,74408.600317,8283.046334627456
SF_6706_19,61276.753548999994,7874.21514171319
SF_6705_19,45701.578197999996,6538.288264486178
SF_6704_19,29907.967712,4461.984376730072
SF_6703_19,13747.438083500001,1921.4032697714533
SF_6702_19,-2723.7406963999997,1050.8779540720927
SF_6701_19,-18808.044969000002,3397.7538678980263
SF_6700_19,-33994.974842999996,5178.330297350269
SF_6699_19,-48599.971796000005,6387.565381609011
SF_6698_19,-62747.993227,6961.115558985277
SF_6697_19,-74370.201854,7000.354107310155
SF_6696_19,-81059.21100599998,6541.803910100204
SF_6695_19,-78135.063704,5625.852227869278
SF_6716_19,-12041.430303436,5143.007081164387
SF_6717_19,47056.565083999994,6462.618935554696
SF_6718_19,93348.22783399999,6332.001085754243
SF_6719_19,136277.39907599997,6207.283536584062
SF_6720_19,138221.863166,5957.827601014462
SF_6721_19,96497.89257699999,5452.072664966756
SF_6722_19,59860.27994,4262.409096419621
SF_6723_19,28246.571934,2432.159260715693
SF_6724_19,1450.962677644,2136.4079290439845
SF_6725_19,-18024.386580000002,4161.26866574237
SF_6726_19,-33609.620368,3346.414439444338
SF_6727_19,-58423.150068,4235.046967165307
SF_6728_19,-69749.66580000002,5001.024931815963
SF_6729_19,-66376.537989,5382.229764585334
SF_6730_19,-76243.68753499999,5942.769123781724
SF_6731_19,-93400.841724,5868.982808448094
SF_6691_19,969.6708346329999,6392.078034256614
SF_6690_19,75501.741581,8082.39083488813
SF_6689_19,72826.599864,5499.097566473457
SF_6688_19,61487.38026800001,3731.5562740615796
SF_6687_19,49793.148852,3435.4729873241927
SF_6686_19,39271.462557,3329.087716875671
SF_6685_19,29516.817265,2715.3821338324256
SF_6684_19,19485.981592999997,1652.7309469296035
SF_6683_19,8905.9752261,1454.2225274842522
SF_6682_19,-3236.5342205202996,1781.3619444504627
SF_6681_19,-16203.3203465,1942.8830992808482
SF_6680_19,-31275.260562,2052.6275297579846
SF_6679_19,-32175.549145999998,2194.41835029176
SF_6678_19,-21066.114850999995,2182.917152710703
SF_6677_19,-19154.498288,2266.751983809876
SF_6676_19,-31206.728023000003,3018.68644107241
SF_6675_19,-59190.256158,3606.1417002580847
SF_6674_19,-96780.154984,4862.20607369747
SF_6673_19,-125149.937358,6690.1985821848975
SF_6672_19,-97760.84266400001,6157.770607022732
SF_6671_19,-46940.587585,3633.4809660546957
SF_6664_19,57505.276577,4838.767426306596
SF_6663_19,75579.716645,3929.2434141251997
SF_6662_19,74014.31328100002,3575.770206436425
SF_6661_19,63049.233823,3554.4127929527344
SF_6660_19,49988.554383,3557.98218092075
SF_6659_19,37394.082589000005,3439.9719770254837
SF_6658_19,26327.257002000002,3155.9939926706475
SF_6657_19,17640.470307,2721.175375505193
SF_6656_19,11168.043300099998,2203.2966044951922
SF_6655_19,6797.023587500001,1627.9782912199746
SF_6654_19,4065.3890763,1043.6146241802815
SF_6653_19,2406.1834919999997,469.472844575396
