node_index,DAT_m,PCE_m,error_m,error_mm
1,0.04926043532395,0.04907110250608716,0.00018933281786284034,18.933281786284034
2,0.04824239750584001,0.04802820090584564,0.00021419659999436652,21.419659999436654
3,0.058381168796006,0.05795045263721332,0.00043071615879267805,43.0716158792678
4,0.08640806225108999,0.08635537909539298,5.2683155697008655e-05,5.2683155697008655
5,0.1418481997024,0.1418474387299255,7.609724745061275e-07,0.07609724745061275
6,0.235979692595,0.23707894956775497,-0.0010992569727549528,-109.92569727549528
7,0.38068165310999996,0.3818736766799634,-0.0011920235699634518,-119.20235699634519
8,0.58700266412,0.5886213612183663,-0.0016186970983662619,-161.86970983662619
9,0.86186840039,0.8604908702506321,0.0013775301393679218,137.75301393679217
10,1.2032929695699999,1.20467194243493,-0.0013789728649300503,-137.89728649300503
11,1.5857590431000002,1.5867044847428933,-0.0009454416428931189,-94.5441642893119
12,1.9397935027,1.941081533392539,-0.0012880306925391327,-128.80306925391326
13,2.0245728853999996,2.022680294034841,0.0018925913651584025,189.25913651584025
14,1.6522332439,1.6506610487795998,0.0015721951204001883,157.21951204001883
15,1.03454534034,1.0352273245931398,-0.0006819842531398113,-68.19842531398112
16,0.47213918800000004,0.4724459831352149,-0.0003067951352148657,-30.67951352148657
17,0.08249012173499999,0.08206127911374025,0.0004288426212597368,42.884262125973684
18,-0.136243717993,-0.13575790774937468,-0.00048581024362531755,-48.58102436253176
19,-0.25059336064000004,-0.2503401608833633,-0.000253199756636735,-25.3199756636735
20,-0.33803011426999996,-0.33769856941007403,-0.0003315448599259252,-33.15448599259252
21,-0.46214445484999994,-0.4618492847273592,-0.00029517012264074216,-29.517012264074218
22,-0.6198164082000001,-0.6200056945693257,0.00018928636932569187,18.928636932569187
23,-0.7505547868200002,-0.7512454906458128,0.0006907038258125997,69.07038258125996
24,-0.8258292919400001,-0.8271346919578109,0.001305400017810765,130.5400017810765
25,-0.8444991889899999,-0.8454386426281929,0.000939453638193033,93.9453638193033
26,-0.8016470184000001,-0.8029023414784019,0.0012553230784018155,125.53230784018155
27,-0.6908140041999999,-0.6909293130612958,0.00011530886129584861,11.53088612958486
28,-0.50762049448,-0.5075822090367147,-3.828544328532413e-05,-3.8285443285324128
